HDI rank;Country;Human Development Index (HDI,Value);Inequality in life expectancy %;Inequality in education %; Inequality in income %;Quintile ratio (2003-2012)
1;Norway;0.944;3.4;2.4;10.7;..
2;Australia;0.933;4.2;1.8;16.6;..
3;Switzerland;0.917;3.9;5.8;13.2;..
4;Netherlands;0.915;3.9;4.1;11.8;5.1
5;United States;0.914;6.2;6.7;35.6;..
6;Germany;0.911;3.7;2.4;14.8;..
7;New Zealand;0.91;4.8;..;..;..
8;Canada;0.902;4.6;4;13.9;..
9;Singapore;0.901;2.8;..;..;..
10;Denmark;0.9;4;3.1;13.3;..
11;Ireland;0.899;3.7;5.2;13.3;..
12;Sweden;0.898;3.1;3.6;12.4;..
13;Iceland;0.895;2.8;2.5;11.6;..
14;United Kingdom;0.892;4.5;2.6;18.8;7.2
15;Hong Kong, China (SAR);0.891;2.8;..;..;..
15;Korea (Republic of);0.891;3.9;28.1;18.4;..
17;Japan;0.89;3.2;19.8;13.5;..
18;Liechtenstein;0.889;..;..;..;..
19;Israel;0.888;3.8;7.9;19.6;..
20;France;0.884;4;8.6;14.2;..
21;Austria;0.881;3.7;3.7;13.8;..
21;Belgium;0.881;3.9;9.2;12.3;..
21;Luxembourg;0.881;3.3;6;13.1;..
24;Finland;0.879;3.5;2.1;10.8;..
25;Slovenia;0.874;3.8;2.7;10.6;4.8
26;Italy;0.872;3.4;11.7;19.8;..
27;Spain;0.869;3.9;5.4;22.1;..
28;Czech Republic;0.861;3.7;1.4;11.3;..
29;Greece;0.853;4;11.3;16.2;..
30;Brunei Darussalam;0.852;4.4;..;..;..
31;Qatar;0.851;6;..;..;13.3
32;Cyprus;0.845;3.7;14;14.9;..
33;Estonia;0.84;5.6;2.5;17.4;6.4
34;Saudi Arabia;0.836;8.7;..;..;..
35;Lithuania;0.834;6.6;6.1;18.6;6.7
35;Poland;0.834;5.7;5.6;17.9;5.2
37;Andorra;0.83;..;..;..;..
37;Slovakia;0.83;5.6;1.5;11.5;3.6
39;Malta;0.829;4.8;5.7;14.1;..
40;United Arab Emirates;0.827;5.5;..;..;..
41;Chile;0.822;5.9;13.7;36;13.5
41;Portugal;0.822;3.9;5.7;19.9;..
43;Hungary;0.818;5.4;3.5;13.1;4.8
44;Bahrain;0.815;6.3;..;..;..
44;Cuba;0.815;5.1;11;..;..
46;Kuwait;0.814;7.2;..;..;..
47;Croatia;0.812;5.2;10.4;17.6;5.2
48;Latvia;0.81;7.6;3.6;19.8;6
49;Argentina;0.808;9.3;8.6;28.1;11.3
50;Uruguay;0.79;9.2;10.9;27.1;10.3
51;Bahamas;0.789;9.4;8;24.5;..
51;Montenegro;0.789;7.6;2.5;11.3;4.3
53;Belarus;0.786;6.8;4.8;11.1;3.8
54;Romania;0.785;8.8;5;17.3;4.1
55;Libya;0.784;10.1;..;..;..
56;Oman;0.783;7;..;..;..
57;Russian Federation;0.778;9.8;2.1;22.9;7.3
58;Bulgaria;0.777;7.9;5.8;18.8;4.3
59;Barbados;0.776;8.1;..;..;..
60;Palau;0.775;..;12;23;..
61;Antigua and Barbuda;0.774;8;..;..;..
62;Malaysia;0.773;4.9;..;..;11.3
63;Mauritius;0.771;9.2;13.2;19.8;..
64;Trinidad and Tobago;0.766;16.4;6.6;21.9;..
65;Lebanon;0.765;6.7;24.1;30;..
65;Panama;0.765;12.1;16.3;35.8;17.1
67;Venezuela (Bolivarian Republic of);0.764;12.2;17.6;28.4;11.5
68;Costa Rica;0.763;7.3;15.7;34.3;14.5
69;Turkey;0.759;11;14.1;21.8;8.3
70;Kazakhstan;0.757;16.7;5.9;12.7;4.2
71;Mexico;0.756;10.9;21.4;34.6;10.7
71;Seychelles;0.756;7.9;..;..;18.8
73;Saint Kitts and Nevis;0.75;..;..;..;..
73;Sri Lanka;0.75;8.3;14.6;19.6;5.8
75;Iran (Islamic Republic of);0.749;12.5;37.3;46.6;7
76;Azerbaijan;0.747;21.7;8.3;4.5;5.3
77;Jordan;0.745;11.9;22.4;21.1;5.7
77;Serbia;0.745;8.5;10.7;13.5;4.6
79;Brazil;0.744;14.5;24.7;39.7;20.6
79;Georgia;0.744;12.9;3.3;25.9;9.5
79;Grenada;0.744;8.4;..;..;..
82;Peru;0.737;13.9;25.6;30.6;13.5
83;Ukraine;0.734;10.4;6.1;10.9;3.6
84;Belize;0.732;11.4;..;37.9;17.6
84;The former Yugoslav Republic of Macedonia;0.732;7.6;10.6;21.8;10
86;Bosnia and Herzegovina;0.731;6.7;5.2;19.2;6.5
87;Armenia;0.73;12.7;3.7;14.3;4.6
88;Fiji;0.724;12.3;10.5;22.6;8
