Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Algeria;-;-;-;-;-;-;-;-;19.9;-;10.8;12.1;6.4;-
Angola;-;-;-;-;-;-;-;20.3;-;32.9;-;34.4;24.3;22.8
Argentina;14.8;16.8;26.4;16.7;11.6;13.9;17.5;17.2;18;16.2;24.8;24;19.2;17.8
Australia;19.6;11.7;13.6;15.7;13.7;14;-;-;-;7.8;12.6;-;-;16
Austria;-;-;-;-;6.9;-;3.1;-;-;-;-;11;-;10.4
Bangladesh;-;-;-;-;-;-;-;-;-;-;21;-;-;-
Barbados;-;-;-;-;-;-;-;-;-;-;10.7;18.2;23.9;14.3
Belgium;5.5;4.4;5.7;4.8;5.4;4.4;4.3;4;4.5;4;6.9;7.7;6.4;7.7
Belize;-;-;-;-;-;-;-;-;-;-;-;-;-;7.8
Bolivia;-;-;-;-;-;-;-;31.8;-;40.9;-;-;-;29.9
Bosnia & Herzegovina;-;-;-;-;-;-;-;11.1;5.9;11.2;11;10.4;13.4;10.6
Botswana;-;-;-;-;-;-;-;-;-;-;-;30;21.9;34.8
Brazil;16.4;16;14.2;15.7;11.8;13.7;12.7;13;14.8;18.6;15.3;16.2;17.2;17
Burkina Faso;-;-;-;-;-;-;-;-;-;-;-;-;-;25.4
Cameroon;-;-;-;-;-;-;-;-;-;-;-;-;-;40.9
Canada;12.6;12.6;11;11.5;13.1;8.3;-;-;-;-;-;-;14.5;16.2
Chile;-;21.9;17.8;-;14.1;11.4;16.4;14.9;17;19.2;26.3;26.2;30;30.1
China;-;13.6;14.3;-;15.7;16.9;19.3;-;21.1;16.3;25.7;14.7;15.8;16.8
Colombia;-;-;-;-;-;27.7;26.9;30.3;25.2;23;26.8;22.8;30.5;22.8
Costa Rica;-;-;-;-;-;-;-;-;-;13.2;-;19.7;-;11.7
Croatia;-;5.4;3.7;5.8;9.8;12.1;9.4;10.8;8.4;7.2;10;11.8;11.5;11.3
Czech Republic;-;-;-;-;-;10.7;-;-;-;-;11;-;10.5;-
Denmark;10.1;8.8;8.8;7.4;6.4;7.3;6.2;5.4;4.7;5.2;6.3;7.6;-;7.1
Dominican Republic;-;-;-;-;-;-;18.9;25;20.1;-;-;-;-;-
Ecuador;-;-;-;30.1;-;-;-;18.5;16.1;23.5;-;25.7;39.5;33
Egypt;-;-;-;-;-;-;-;20.2;-;9.5;-;13.1;-;-
El Salvador;-;-;-;-;-;-;-;-;-;-;-;16.4;-;19.3
Estonia;-;-;-;-;-;-;-;-;-;-;-;19.1;17;11.2
Ethiopia;-;-;-;-;-;-;-;-;-;-;-;16.6;-;-
Finland;11.1;5.6;4.9;5.7;5.4;5.9;9;10.1;6.2;7.5;8.1;7.8;6.5;6.6
France;8;4.2;1.7;8.2;7.4;6.3;4.1;8;6.7;7;8.6;6.4;6.1;6.7
Georgia;-;-;-;-;-;-;-;-;-;-;-;-;-;8.1
Germany;8.7;6.9;7;6.1;6.3;5.8;-;4.1;4.5;5.4;6.7;7.2;6;6.5
Ghana;-;-;-;-;-;-;-;-;-;30.8;-;35;23.5;-
Greece;-;-;9.6;8.7;9.7;11.1;8;12.1;11.6;6.9;10.1;8.6;7.8;9.9
Guatemala;-;-;-;-;-;-;-;-;20.6;18.1;19.4;-;14.4;24.4
Hong Kong;-;4.6;4.5;4.5;-;-;14.3;-;5.2;-;-;-;-;-
Hungary;13.9;8.8;-;5.1;1.4;8.1;9.3;8;12;10.1;8.3;12.8;12.4;13.5
Iceland;-;14.8;14.7;17.5;14.7;14.9;17.4;12.9;14.8;13.9;-;-;-;-
India;15.7;19.6;-;-;-;11.2;9.5;15.7;-;-;-;-;13.2;8.5
Indonesia;-;-;-;-;-;19.8;-;-;-;-;-;-;26;13.2
Iran;-;-;-;-;-;-;-;13.8;16.2;16.4;19.6;15.6;18.1;21.5
Ireland;16;12.4;12.5;10.4;14.2;10.5;10.6;11.2;-;9.5;10.3;8.3;12.1;8.9
Israel;8.4;10.9;-;8.6;-;-;7.1;8.7;8;6.7;-;7.6;13.7;-
Italy;9.3;7.5;3.2;6.3;6.2;3.9;6.7;6.4;5.6;2.7;-;5.7;4.8;5.7
Jamaica;-;-;-;-;18.4;22.6;-;16.9;26.2;11.8;14.9;-;15.3;21.3
Japan;4.3;2.9;4.2;1.7;3.2;3.2;3.5;7.8;5;5.1;7.2;5.9;4.8;6.1
Jordan;-;-;-;22.5;-;-;-;-;15.8;-;-;-;-;-
Kazakhstan;-;-;-;-;-;-;11.2;-;-;-;-;-;-;14.3
Korea (South);20.1;20.3;-;-;-;-;-;14.8;10.4;11;11.7;10.8;9.7;-
Latvia;-;-;-;-;8.5;9.3;7.7;9.6;13.7;13.1;15.7;18.9;16.6;-
Lebanon;-;-;-;-;-;-;-;-;20.2;-;-;-;-;-
Libya;-;-;-;-;-;-;-;-;-;-;-;-;14.8;-
Lithuania;-;-;-;-;-;-;-;-;-;-;15.6;9.4;17.5;16.2
Luxembourg;-;-;-;-;-;-;-;-;-;-;-;-;11.6;8.9
Macedonia;-;-;-;-;-;-;-;20.3;-;11.7;-;9.4;9.4;-
Malawi;-;-;-;-;-;-;-;-;-;-;-;39.3;28.9;-
Malaysia;-;-;-;-;-;11.1;-;-;5.1;5.1;5.8;7.8;7.6;5.1
Mexico;24.7;14.6;-;-;7.4;6.1;-;14.4;-;10.7;10.9;12.2;16.8;19.7
Montenegro;-;-;-;-;-;-;-;-;-;19.6;-;-;-;-
Morocco;-;-;-;-;-;-;-;-;19.9;-;-;-;-;-
Namibia;-;-;-;-;-;-;-;-;-;-;-;18.8;32.1;-
Netherlands;7.9;5.7;4.8;7.1;6.6;7.2;6.6;7.1;8.5;10.1;10.4;13.9;11.7;11.6
New Zealand;17.6;17.4;17.2;17.2;21.7;-;-;-;-;-;-;-;-;-
Nigeria;-;-;-;-;-;-;-;-;-;-;-;34.5;39;-
Norway;10.2;12.6;10.7;10.2;13.6;12;8.5;12.1;12.5;11.5;9.6;9.8;8.9;7.3
Pakistan;-;-;-;-;-;-;-;-;-;14.4;15.9;21.3;-;-
Palestine;-;-;-;-;-;-;-;-;13.6;13.6;-;16;-;-
Panama;-;-;-;-;-;-;-;-;11;-;22;8.5;23.8;18
Peru;-;-;-;41.4;-;40.9;25.7;27.5;23.6;28.9;26.9;22.9;27.3;29.7
Philippines;-;-;-;-;-;18.3;-;-;-;-;-;-;19.1;15.9
Poland;9.7;4.7;-;12.7;-;-;-;-;-;-;13.1;12.6;12.4;12.5
Portugal;9.6;-;-;3.9;-;-;11.7;-;-;5.9;10.5;9.3;10.8;11.7
Puerto Rico;-;-;-;-;-;-;3.2;-;-;-;-;-;10.7;11.1
Qatar;-;-;-;-;-;-;-;-;-;-;-;-;-;19.3
