HDI Rank;HDI Value
..;0.874
..;0.71
..;0.565
..;0.446
1;0.94
2;0.92
3;0.895
4;0.899
5;0.911
6;0.892
7;0.896
8;0.894
9;0.878
10;0.896
11;0.881
12;0.898
13;0.883
14;0.887
15;0.86
15;0.875
17;0.863
18;..
19;0.878
20;0.878
21;0.861
21;0.866
21;0.834
24;0.881
25;0.876
26;0.853
27;0.862
28;0.844
29;0.833
30;0.84
31;0.838
32;0.816
33;0.856
34;0.773
35;0.836
35;0.847
37;0.829
37;..
39;0.807
40;0.801
41;0.808
41;0.803
43;0.816
44;0.796
44;0.798
46;0.8
47;0.807
48;0.824
49;0.806
50;0.793
51;..
51;..
53;0.793
54;0.771
55;0.749
56;..
57;0.793
58;0.775
59;0.784
60;..
61;..
62;0.743
63;0.75
64;0.763
65;0.754
65;0.715
67;0.76
68;0.751
69;0.704
70;0.762
71;..
71;0.728
73;0.719
73;..
75;0.672
76;0.723
77;..
77;0.658
79;..
79;0.713
79;..
82;0.72
83;0.737
84;0.708
84;0.715
86;..
87;0.725
88;0.679
89;0.718
90;0.67
91;..
91;0.696
93;..
93;0.629
95;0.694
96;0.703
97;..
98;..
98;0.697
100;0.682
100;0.693
102;..
103;..
103;0.705
103;0.672
106;0.67
107;0.612
108;0.654
109;0.67
110;0.617
111;0.663
112;..
113;0.641
114;0.659
115;0.647
116;0.636
117;0.652
118;0.589
118;..
120;0.556
121;..
121;0.629
123;..
124;..
125;0.618
125;0.596
127;0.616
128;0.574
129;0.546
129;0.59
131;0.582
132;0.583
133;0.592
133;..
135;0.519
136;0.533
136;..
138;0.537
139;0.538
140;0.542
141;0.534
142;0.524
142;0.529
144;..
145;0.515
146;0.447
147;0.508
148;0.492
149;..
150;..
151;0.463
152;0.458
152;0.469
154;0.415
155;0.476
156;0.468
157;..
157;..
159;0.467
159;..
161;0.425
162;0.474
163;0.45
164;0.456
165;0.427
166;0.401
166;..
168;..
169;0.33
170;..
171;..
172;..
173;0.4
174;0.39
175;0.379
176;0.35
177;..
178;0.344
179;0.345
180;0.371
181;0.377
182;..
183;0.329
184;0.318
185;0.296
186;0.304
187;0.275
..;..
..;..
..;..
..;..
..;..
..;..
..;..
..;..
