Country;HDI Rank;HDI Value
Very high human development;..;0.874
High human development;..;0.71
Medium human development;..;0.565
Low human development;..;0.446
Norway;1;0.94
Australia;2;0.92
Switzerland;3;0.895
Netherlands;4;0.899
United States;5;0.911
Germany;6;0.892
New Zealand;7;0.896
Canada;8;0.894
Singapore;9;0.878
Denmark;10;0.896
Ireland;11;0.881
Sweden;12;0.898
Iceland;13;0.883
United Kingdom;14;0.887
Korea (Republic of);15;0.86
Hong Kong, China (SAR);15;0.875
Japan;17;0.863
Liechtenstein;18;..
Israel;19;0.878
France;20;0.878
Luxembourg;21;0.861
Belgium;21;0.866
Austria;21;0.834
Finland;24;0.881
Slovenia;25;0.876
Italy;26;0.853
Spain;27;0.862
Czech Republic;28;0.844
Greece;29;0.833
Brunei Darussalam;30;0.84
Qatar;31;0.838
Cyprus;32;0.816
Estonia;33;0.856
Saudi Arabia;34;0.773
Poland;35;0.836
Lithuania;35;0.847
Slovakia;37;0.829
Andorra;37;..
Malta;39;0.807
United Arab Emirates;40;0.801
Portugal;41;0.808
Chile;41;0.803
Hungary;43;0.816
Cuba;44;0.796
Bahrain;44;0.798
Kuwait;46;0.8
Croatia;47;0.807
Latvia;48;0.824
Argentina;49;0.806
Uruguay;50;0.793
Montenegro;51;..
Bahamas;51;..
Belarus;53;0.793
Romania;54;0.771
Libya;55;0.749
Oman;56;..
Russian Federation;57;0.793
Bulgaria;58;0.775
Barbados;59;0.784
Palau;60;..
Antigua and Barbuda;61;..
Malaysia;62;0.743
Mauritius;63;0.75
Trinidad and Tobago;64;0.763
Panama;65;0.754
Lebanon;65;0.715
Venezuela (Bolivarian Republic of);67;0.76
Costa Rica;68;0.751
Turkey;69;0.704
Kazakhstan;70;0.762
Seychelles;71;..
Mexico;71;0.728
Sri Lanka;73;0.719
Saint Kitts and Nevis;73;..
Iran (Islamic Republic of);75;0.672
Azerbaijan;76;0.723
Serbia;77;..
Jordan;77;0.658
Grenada;79;..
Georgia;79;0.713
Brazil;79;..
Peru;82;0.72
Ukraine;83;0.737
The former Yugoslav Republic of Macedonia;84;0.708
Belize;84;0.715
Bosnia and Herzegovina;86;..
Armenia;87;0.725
Fiji;88;0.679
Thailand;89;0.718
Tunisia;90;0.67
Saint Vincent and the Grenadines;91;..
China;91;0.696
Dominica;93;..
Algeria;93;0.629
Albania;95;0.694
Jamaica;96;0.703
Saint Lucia;97;..
Ecuador;98;..
Colombia;98;0.697
Tonga;100;0.682
Suriname;100;0.693
Dominican Republic;102;..
Turkmenistan;103;..
Mongolia;103;0.705
Maldives;103;0.672
Samoa;106;0.67
Palestine, State of;107;0.612
Indonesia;108;0.654
Botswana;109;0.67
Egypt;110;0.617
Paraguay;111;0.663
Gabon;112;..
Bolivia (Plurinational State of);113;0.641
Moldova (Republic of);114;0.659
El Salvador;115;0.647
Uzbekistan;116;0.636
Philippines;117;0.652
Syrian Arab Republic;118;0.589
South Africa;118;..
Iraq;120;0.556
Viet Nam;121;..
Guyana;121;0.629
Cape Verde;123;..
Micronesia (Federated States of);124;..
Kyrgyzstan;125;0.618
Guatemala;125;0.596
Namibia;127;0.616
Timor-Leste;128;0.574
Morocco;129;0.546
Honduras;129;0.59
Vanuatu;131;0.582
Nicaragua;132;0.583
Tajikistan;133;0.592
Kiribati;133;..
India;135;0.519
Cambodia;136;0.533
Bhutan;136;..
Ghana;138;0.537
Lao People's Democratic Republic;139;0.538
Congo;140;0.542
Zambia;141;0.534
Sao Tome and Principe;142;0.524
Bangladesh;142;0.529
Equatorial Guinea;144;..
Nepal;145;0.515
Pakistan;146;0.447
Kenya;147;0.508
Swaziland;148;0.492
Angola;149;..
Myanmar;150;..
Rwanda;151;0.463
Nigeria;152;0.458
Cameroon;152;0.469
Yemen;154;0.415
Madagascar;155;0.476
Zimbabwe;156;0.468
Solomon Islands;157;..
Papua New Guinea;157;..
Tanzania (United Republic of);159;0.467
Comoros;159;..
Mauritania;161;0.425
Lesotho;162;0.474
Senegal;163;0.45
Uganda;164;0.456
Benin;165;0.427
Togo;166;0.401
Sudan;166;..
Haiti;168;..
Afghanistan;169;0.33
Djibouti;170;..
CÈte d'Ivoire;171;..
Gambia;172;..
Ethiopia;173;0.4
Malawi;174;0.39
Liberia;175;0.379
Mali;176;0.35
Guinea-Bissau;177;..
Mozambique;178;0.344
Guinea;179;0.345
Burundi;180;0.371
Burkina Faso;181;0.377
Eritrea;182;..
Sierra Leone;183;0.329
Chad;184;0.318
Central African Republic;185;0.296
Congo (Democratic Republic of the);186;0.304
Niger;187;0.275
South Sudan;..;..
Tuvalu;..;..
Somalia;..;..
San Marino;..;..
Nauru;..;..
Monaco;..;..
Marshall Islands;..;..
Korea (Democratic People's Rep. of);..;..
