;;Multidimensional Poverty Index;;;;;;;;;;;;
;;Revised specifications;;Specifications (2010);;Population in multidimensional poverty;;Population near multidimensional  poverty;Population in severe poverty;"Contribution of deprivation in dimension to overall poverty
(%)";;;"Population below income poverty line
(%)";
;;Index;Headcount;Index;Headcount;Headcount;Intensity of deprivation;;;Education;Health;Living standards;PPP $1.25 a day;National poverty line
;Year / Survey;Value;(%);Value;%;('000);(%);(%);(%);;;;2002-2012;2002-2012
;;;;;;;;;;;;;;
Afghanistan;2010/2011 M;0.293;58.8;0.353;66.2;17116;49.9;16;29.8;45.6;19.2;35.2;..;36
Albania;2008/2009 D;0.005;1.2;0.005;1.4;38;38.3;7.2;0.1;22.4;47.1;30.5;0.62;12.4
Argentina;2005 N;0.015;3.7;0.011;2.9;1438;39.1;5.2;0.5;38.2;27.8;34;0.92;..
Armenia;2010 D;0.002;0.6;0.001;0.3;18;37;3;0.1;3.4;87.8;8.7;2.47;35.8
Azerbaijan;2006 D;0.009;2.4;0.021;5.3;210;38.2;11.5;0.2;20;50.7;29.3;0.43;6
Bangladesh;2011 D;0.237;49.5;0.253;51.2;75610;47.8;18.8;21;28.4;26.6;44.9;43.25;31.51
Belarus;2005 M;0.001;0.4;0;0;41;34.5;1.1;0;2.6;89.7;7.7;0.07;6.3
Belize;2011 M;0.03;7.4;0.018;4.6;23;41.2;6.4;1.5;36.2;34.8;29;..;..
Benin;2006 D;0.401;69.8;0.412;71.8;5897;57.4;18.8;45.7;35;24.9;40.1;47.33;36.2
Bhutan;2010 M;0.128;29.4;0.119;27.2;211;43.5;18;8.8;40.3;26.3;33.4;1.66;12
Bolivia (Plurinational State of);2008 D;0.097;20.6;0.089;20.5;2022;47;17.3;7.8;21.9;27.9;50.2;15.61;51.3
Bosnia and Herzegovina;2011/2012 M;0.006;1.7;0.002;0.5;65;37.3;3.2;0;7.8;79.5;12.7;0.04;14
Brazil;2012 N;0.012;3.1;;;6083;40.8;7.4;0.5;27.7;38.4;33.9;6.14;21.4
Burkina Faso;2010 D;0.508;82.8;0.535;84;12875;61.3;7.6;63.8;39;22.5;38.5;44.6;46.7
Burundi;2010 D;0.442;81.8;0.454;80.8;7553;54;12;48.2;25;26.3;48.8;81.32;66.9
Cambodia;2010 D;0.211;46.8;0.212;45.9;6721;45.1;20.4;16.4;25.9;27.7;46.4;18.6;20.5
Cameroon;2011 D;0.26;48.2;0.248;46;10187;54.1;17.8;27.1;24.5;31.3;44.2;9.56;39.9
Central African Republic;2010 M;0.424;76.3;0.43;77.6;3320;55.6;15.7;48.5;23.8;26.2;50;;
China;2009 N;0.026;6;0.036;8.8;80784;43.4;19;1.3;21;44.4;34.6;11.8;
Colombia;2010 D;0.032;7.6;0.022;5.4;3534;42.2;10.2;1.8;34.3;24.7;41;8.16;32.7
Congo;2011/2012 D;0.192;43;0.181;39.7;1866;44.7;26.2;12.2;10.6;32.8;56.6;54.1;46.5
Congo (Democratic Republic of the);2010 M;0.399;74.4;0.392;74;46278;53.7;15.5;46.2;18.5;25.5;55.9;87.72;71.3
Cote d'Ivoire;2011/2012 D;0.307;59.3;0.31;58.7;11772;51.7;17.9;32.4;36.5;25.8;37.7;23.75;42.7
Djibouti;2006 M;0.127;26.9;0.139;29.3;212;47.3;16;11.1;36.1;22.7;41.2;18.84;..
Dominican Republic;2007 D;0.026;6.2;0.018;4.6;599;41.9;10.8;1.4;36.2;30.4;33.3;2.24;40.9
Egypt;2008 D;0.036;8.9;0.024;6;6740;40.3;8.6;1.5;41.8;45.6;12.6;1.69;25.2
Ethiopia;2011 D;0.537;88.2;0.564;87.3;78887;60.9;6.7;67;27.4;25.2;47.4;30.65;29.6
Gabon;2012 D;0.073;16.7;0.07;16.5;273;43.4;19.9;4.4;15.2;43.8;40.9;4.84;32.7
Gambia;2005/2006 M;0.329;60.8;0.324;60.4;901;54.1;15.7;35.9;34;30.5;35.5;33.63;48.4
Georgia;2005 M;0.008;2.2;0.003;0.8;99;37.6;4.1;0.1;7.4;67.4;25.2;17.99;24.7
Ghana;2011 M;0.144;30.5;0.139;30.4;7559;47.3;18.7;12.1;27.7;27.1;45.2;28.59;28.5
Guinea;2005 D;0.548;86.5;0.506;82.5;8283;63.4;7.7;68.6;34.4;22.3;43.3;43.34;55.2
Guinea-Bissau;2006 M;0.495;80.4;0.462;77.5;1168;61.6;10.5;58.4;30.5;27.9;41.6;48.9;69.3
Guyana;2009 D;0.031;7.8;0.03;7.7;61;40;18.8;1.2;16.8;51.2;32;..;..
Haiti;2012 D;0.242;50.2;0.248;49.4;5104;48.1;22.2;20.1;24.8;23.4;51.8;..;..
Honduras;2011/2012 D;0.098;20.7;0.072;15.8;1642;47.4;28.6;7.2;36.6;23.1;40.3;17.92;60
India;2005/2006 D;0.282;55.3;0.283;53.7;631999;51.1;18.2;27.8;22.7;32.5;44.8;32.68;21.9
Indonesia;2012 D;0.024;5.9;0.066;15.5;14574;41.3;8.1;1.1;24.7;35.1;40.2;16.2;12
Iraq;2011 M;0.052;13.3;0.045;11.6;4236;39.4;7.4;2.5;50.1;38.6;11.3;2.82;22.9
Jordan;2009 D;0.004;1;0.008;2.4;64;36.8;4.1;0.1;33.7;56.3;10;0.12;13.3
Kazakhstan;2010/2011 M;0.004;1.1;0.001;0.2;173;36.4;2.3;0;4.3;83.9;11.8;0.11;3.8
Kenya;2008/2009 D;0.226;48.2;0.229;47.8;19190;47;29.1;15.7;11.2;32.4;56.4;43.37;45.9
Kyrgyzstan;2005/2006 M;0.013;3.4;0.019;4.9;173;37.9;10.1;0.3;5;63.9;31.2;5.03;38
Lao People's Democratic Republic;2011/2012 M;0.186;36.8;0.174;34.1;2447;50.5;18.5;18.8;37.7;25.4;36.9;33.88;27.6
Lesotho;2009 D;0.227;49.5;0.156;35.3;984;45.9;20.4;18.2;14.8;33.8;51.4;43.41;56.6
Liberia;2007 D;0.459;81.9;0.485;83.9;2883;56.1;12.9;52.8;30.4;21.8;47.8;83.76;63.8
Madagascar;2008/2009 D;0.42;77;0.357;66.9;15774;54.6;11.7;48;31.6;24.5;43.9;81.29;75.3
Malawi;2010 D;0.332;66.7;0.334;66.7;10012;49.8;24.5;29.8;18.9;27.7;53.4;61.64;50.7
Maldives;2009 D;0.008;2;0.018;5.2;6;37.5;8.5;0.1;27.8;60.2;11.9;1.48;..
Mali;2006 D;0.533;85.6;0.558;86.6;10545;62.4;7.8;66.8;37.4;22.6;40.1;50.43;43.6
Mauritania;2007 M;0.362;66;0.352;61.7;2197;54.9;12.8;42.3;33.5;18.2;48.3;23.43;42
Mexico;2012 N;0.024;6;0.011;2.8;7272;39.9;10.1;1.1;31.4;25.6;43;0.72;52.3
Moldova (Republic of);2005 D;0.005;1.3;0.007;1.9;49;38.8;5.2;0.2;17.7;46.6;35.6;0.39;16.6
Mongolia;2005 M;0.077;18.3;0.065;15.8;462;42;19;4.2;13.5;35.7;50.8;..;27.4
Montenegro;2005/2006 M;0.012;3;0.006;1.5;19;40.1;1.3;0.5;21;63.8;15.3;0.12;9.3
Mozambique;2011 D;0.39;70.2;0.389;69.6;17246;55.6;14.8;44.1;30.4;22.3;47.3;59.58;54.7
Namibia;2006/2007 D;0.2;42.1;0.187;39.6;876;47.5;22.6;15.7;14.8;33.4;51.8;31.91;28.7
Nepal;2011 D;0.197;41.4;0.217;44.2;11255;47.4;18.1;18.6;27.3;28.2;44.5;24.82;25.2
Nicaragua;2011/2012 D;0.088;19.4;0.072401;16.1;1146;45.6;14.8;6.9;37.8;12.6;49.6;;
Niger;2012 D;0.584;89.8;0.605;89.3;15408;65;5.9;73.5;35.9;24;40;43.62;59.5
Nigeria;2011 M;0.239;43.3;0.24;43.3;71014;55.2;17;25.7;26.9;32.6;40.4;67.98;46
Pakistan;2012/2013 D;0.237;45.6;0.23;44.2;83045;52;14.9;26.5;36.2;32.3;31.6;21.04;22.3
Palestine (State of);2006/2007 N;0.007;2;0.005;1.4;74;36.9;7.4;0.1;16.6;72.3;11.1;0.04;21.9
Peru;2012 D;0.043;10.4;0.043;10.5;3132;41.4;12.3;2.1;19.4;29.8;50.8;4.91;25.8
Philippines;2008 D;0.038;7.3;0.064;13.4;6559;51.9;12.2;5;37.1;25.7;37.2;18.42;26.5
Rwanda;2010 D;0.352;70.8;0.35;69;7669;49.7;17.9;34.6;23.8;27.2;49;63.17;44.9
Sao Tome and Principe;2008/2009 D;0.217;47.5;0.154;34.5;82;45.5;21.5;16.4;29.1;26.5;44.4;..;61.7
Senegal;2010/2011 D;0.39;69.4;0.439;74.4;9247;56.2;14.4;45.1;36.7;33.1;30.2;29.61;46.7
Serbia;2010 M;0.001;0.3;0;0.1;25;39.9;3.1;0;24.7;48.6;26.7;0.21;9.2
Sierra Leone;2010 M;0.405;72.7;0.388;72.5;4180;55.8;16.7;46.4;24.2;28.3;47.4;51.71;52.9
Somalia;2006 M;0.5;81.8;0.514;81.2;7104;61.1;8.3;63.6;33.7;18.8;47.5;..;..
