;;Employment and vulnerabilities;;;;;;;;Old age pension recipient;;;Suicide rates;
;;Employment to population ratio;Vulnerable employment;Youth unemployment;Unemployment rate;Child labour;Share of working poor  ;Length of mandatory paid maternity leave;Birth registration;(% of statutory pension age population);;;(per 100,000);
;;(% aged 25 and above);(% of total employment);(% aged 15-24);(% aged  15 years and older);(% aged 5-14 years);(% of total employment);(days);(% aged under 5);Total;Female;Male;Female;Male
HDI rank;Country;2012;2003-2012;2008-2012;2004-201`3;2005-2012;2003-2010;2013;;2004-2013;2004-2013;2004-2013;2003-2009;2003-2009
VERY HIGH HUMAN DEVELOPMENT;;;;;;;;;;;;;;
1;Norway;65.5;..;8.6;3.1;..;..;..;100;100;100;100;6.5;17.3
2;Australia;62.3;9;11.7;5.2;..;..;..;100;83;87.6;77.5;3.6;12.8
3;Switzerland;65.9;9.1;8.4;4.2;..;..;98;100;100;100;100;11.4;24.8
4;Netherlands;61;11.5;9.5;5.3;..;..;112;100;100;100;100;5.5;13.1
5;United States;61;..;16.2;7.4;..;..;..;100;92.5;..;..;4.5;17.7
6;Germany;58;6.8;8.1;5.5;..;..;98;100;100;100;100;6;17.9
7;New Zealand;66.2;12.1;17.7;6.9;..;..;98;100;98;96.5;99.8;5.5;18.1
8;Canada;62.9;..;14.3;7.2;..;..;105;100;97.7;..;..;5.4;17.3
9;Singapore;72.5;9.3;6.7;3.1;..;..;112;..;..;..;..;7.7;12.9
10;Denmark;59.2;..;14.1;7.5;..;..;126;100;100;100;100;6.4;17.5
11;Ireland;55.6;11.7;30.4;14.7;..;..;182;100;90.5;66.3;100;4.7;19
12;Sweden;62.7;..;23.7;8;..;..;..;100;100;100;100;6.8;18.7
13;Iceland;71.2;..;13.6;6;..;..;90;100;100;100;100;7;16.5
14;United Kingdom;59.1;..;21;7.9;..;..;273;100;99.5;99.2;100;3;10.9
15;Hong Kong, China (SAR);60.9;7.4;9.3;3.3;..;..;70;..;72.9;..;..;10.7;19
15;Korea (Republic of);65.4;24.8;9;3.2;..;..;90;..;77.6;..;..;22.1;39.9
17;Japan;58.5;10.5;7.9;4.3;..;..;98;100;80.3;..;..;13.2;36.2
18;Liechtenstein;..;..;..;2.5;..;..;..;100;..;..;..;..;..
19;Israel;63.4;7.2;12.1;6.8;..;..;98;100;73.6;..;..;1.5;7
20;France;54.4;7.1;23.8;9.9;..;..;112;100;100;100;100;8.5;24.7
21;Austria;58.9;8.6;8.7;4.3;..;..;112;100;100;93.7;77.5;7.1;23.8
21;Belgium;53;10.3;19.8;7.5;..;..;105;100;84.6;67.8;100;10.3;28.8
21;Luxembourg;60.5;5.7;18.8;5.1;..;..;..;100;90;56.4;100;3.2;16.1
24;Finland;57.6;..;17.7;7.7;..;..;147;100;100;100;100;10;29
25;Slovenia;56.4;12.8;20.6;8.8;..;..;105;100;95.1;85.9;100;9.4;34.6
26;Italy;47.1;18.2;35.3;10.7;..;..;150;100;81.1;69.2;100;2.8;10
27;Spain;47.9;..;53.2;25;..;..;112;100;68.2;46.6;97.4;3.4;11.9
28;Czech Republic;59.3;15;19.5;7;..;..;196;100;100;100;100;4.4;23.9
29;Greece;43.8;29.7;55.3;24.2;..;..;119;100;77.4;54.6;100;1;6
30;Brunei Darussalam;68.1;..;..;1.7;..;..;..;..;81.7;..;..;..;..
31;Qatar;89.8;0.4;1.3;0.4;..;..;..;..;7.9;..;..;..;..
32;Cyprus;62.4;12.5;27.8;11.8;..;..;..;100;85.2;57.2;100;1.7;7.4
33;Estonia;59.4;..;20.9;10.2;..;..;140;100;98;97.5;98.5;7.3;30.6
34;Saudi Arabia;60.4;..;28.3;5.6;..;..;70;..;..;..;..;..;..
35;Lithuania;58.5;8.9;26.4;13.2;..;..;126;100;100;100;100;10.4;61.3
35;Poland;55.5;18.2;26.5;10.1;..;..;182;100;96.5;94.9;100;4.1;26.4
37;Andorra;..;..;..;..;..;..;..;100;..;..;..;..;..
37;Slovakia;57;12.4;34;14;..;..;238;100;100;100;100;3.4;22.3
39;Malta;49.9;8.9;14.2;6.4;..;..;..;100;60.5;32;97.5;1;5.9
40;United Arab Emirates;84.4;1;12.1;4.2;..;..;45;100;..;..;..;..;..
41;Chile;64.8;24.4;16.3;6;2.9;0;126;99.8;74.5;73.4;76.4;4.2;18.2
41;Portugal;55.5;16.7;37.6;15.7;3.4;..;..;100;100;100;100;4;15.6
43;Hungary;50.7;..;28.1;10.9;..;..;168;100;91.4;87.6;97.7;10.6;40
44;Bahrain;72.5;2;5;1.1;4.6;..;..;..;40.1;..;..;3.5;4
44;Cuba;58.4;..;3.1;3.2;..;..;..;100;..;..;..;5.5;19
46;Kuwait;76.3;2.2;..;3.6;..;..;70;..;27.3;..;..;1.7;1.9
47;Croatia;47.4;16.5;43.1;15.8;..;0;208;..;57.6;44.2;85.1;7.5;28.9
48;Latvia;55;..;28.4;14.9;..;..;112;100;100;100;100;8.2;40
49;Argentina;62.5;19;18.3;7.3;6.5;1.8;90;99;90.7;93.3;86.8;3;12.6
HIGH HUMAN DEVELOPMENT;;;;;;;;;;;;;;
50;Uruguay;65.3;..;18.5;6.4;7.9;0;84;100;68.2;64.4;73.6;6.3;26
51;Bahamas;70.8;..;30.8;14.7;..;..;..;..;84.2;..;..;0.6;1.9
51;Montenegro;44.9;..;41.1;19.7;9.9;..;45;99;52.3;..;..;..;..
53;Belarus;53.9;2.1;12.5;0.7;1.4;0;126;100;93.6;..;..;8.8;48.7
54;Romania;57.3;31.5;22.7;7;0.9;..;126;..;98;88;100;3.5;21
55;Libya;55.4;..;..;..;..;..;..;..;43.3;..;..;..;..
56;Oman;67.6;..;..;..;..;..;42;..;24.7;..;..;..;..
57;Russian Federation;65;..;14.8;5.5;..;0;140;100;100;100;100;9.5;53.9
58;Bulgaria;50.3;8;28.1;12.3;..;..;410;100;96.9;95.5;99.4;6.2;18.8
59;Barbados;67.5;14;..;11.6;..;..;..;..;68.3;..;..;0;7.3
60;Palau;..;..;..;..;..;..;..;..;48;..;..;..;..
61;Antigua and Barbuda;..;..;..;..;..;..;..;..;69.7;..;..;..;..
62;Malaysia;65.5;..;10.3;3;..;1.9;60;..;19.8;..;..;..;..
63;Mauritius;59.3;16.2;23.7;8.1;..;..;84;..;100;100;100;1.9;11.8
64;Trinidad and Tobago;64.5;15.6;10.5;5;0.7;..;..;97;98.7;..;..;3.8;17.9
65;Lebanon;50;33.9;16.8;9;1.9;..;49;99.5;0;..;..;..;..
65;Panama;68.8;29.2;10.3;6.5;5.6;6.8;98;..;37.3;28.9;49.4;1.9;9
67;Venezuela (Bolivarian Republic of);68.2;31.8;17.1;7.5;7.7;8.2;182;81;59.4;50.2;70;1.2;5.3
68;Costa Rica;64;20.2;18.4;7.8;4.7;4.2;120;..;55.8;48.8;65.4;1.9;10.2
69;Turkey;48.5;32.1;17.5;8.1;2.6;6.4;112;93.7;88.1;..;..;..;..
70;Kazakhstan;75.2;29.2;3.9;5.8;2.2;1.1;126;99.7;95.9;..;..;9.4;43
71;Mexico;63.9;..;9.4;4.8;6.3;6.5;84;93.4;25.2;17.2;34.6;1.5;7
71;Seychelles;..;..;..;..;..;..;..;..;100;..;..;0;8.9
73;Saint Kitts and Nevis;..;..;..;..;..;..;..;..;44.7;39.7;51.6;..;..
73;Sri Lanka;57.9;..;17.3;5;..;26;84;97.2;17.1;..;..;..;..
75;Iran (Islamic Republic of);44.7;..;23;13.5;11.4;6.2;90;98.6;26.4;..;..;..;..
76;Azerbaijan;73;54.7;14.2;5.2;6.5;6.1;126;93.6;81.7;79;82.6;0.3;1
77;Jordan;44.3;9.7;29.3;12.2;1.9;2.8;70;99.1;42.2;11.8;82.3;0;0.2
77;Serbia;47.2;26.4;51.1;23.9;4.4;..;135;98.9;46.1;44.8;48.4;10;28.1
79;Brazil;68.4;..;15.4;6.2;8.6;5.9;120;93.4;86.3;83;90.6;2;7.7
79;Georgia;62.4;60.6;33.3;15;18.4;26.8;126;98.5;89.8;..;..;1.7;7.1
79;Grenada;..;..;..;..;..;..;..;..;34;..;..;0;0
82;Peru;78.9;46.3;9.5;6.8;33.5;13.5;90;96;33.2;26.1;41.4;1;1.9
83;Ukraine;58.2;..;17.3;7.5;7.3;0;126;99.8;95;..;..;7;37.8
84;Belize;66.9;..;..;14.4;5.8;..;..;95.2;64.6;..;..;0.7;6.6
84;The former Yugoslav Republic of Macedonia;42.9;22.1;53.9;31;12.5;3.4;270;99.7;52.2;..;..;4;9.5
86;Bosnia and Herzegovina;36.4;27.4;62.8;28;5.3;0;365;99.5;29.6;..;..;..;..
87;Armenia;58.6;..;39.2;28.6;3.9;9;140;99.6;80;..;..;1.1;2.8
88;Fiji;56.3;38.8;..;4.6;..;49.7;84;..;10.6;..;..;..;..
89;Thailand;77;53.5;2.8;0.6;8.3;10.1;45;100;81.7;84.6;77.9;3.8;12
90;Tunisia;47.1;28.8;42.3;17.6;2.1;..;30;99.2;68.8;..;..;..;..
91;China;72.2;..;..;4.1;..;..;98;..;74.4;..;..;..;..
91;Saint Vincent and the Grenadines;..;8;33.8;..;..;..;..;..;76.6;..;..;1.9;5.4
93;Algeria;45.4;29.5;22.4;9.8;4.7;..;98;99.3;63.6;..;..;..;..
93;Dominica;..;..;..;..;..;..;..;..;38.5;..;..;..;..
95;Albania;53.3;..;22.5;13.8;12;3.4;365;98.6;77;60.8;100;3.3;4.7
96;Jamaica;65.3;..;34;13.9;6.1;4.6;56;97.8;55.5;..;..;..;..
97;Saint Lucia;..;..;..;21;..;..;..;..;26.5;8.3;10.3;0;4.9
98;Colombia;68.2;..;21.9;11.8;13;22.6;98;96.5;23;18.4;28.3;2;7.9
98;Ecuador;72.2;..;11.1;5;7.5;12.1;84;90;53;50.8;55.5;3.6;10.5
100;Suriname;56.3;..;..;9.5;4.1;..;..;98.9;..;..;..;4.8;23.9
100;Tonga;..;55.2;..;1.1;..;..;..;..;1;..;..;..;..
102;Dominican Republic;63.2;..;29.4;14.7;12.9;10.7;84;82.4;11.1;6.2;16.5;0.7;3.9
MEDIUM HUMAN DEVELOPMENT;;;;;;;;;;;;;;
103;Maldives;67.4;29.6;..;11.7;..;11.2;..;92.5;99.7;..;..;0;0.7
103;Mongolia;69.3;54.9;11.9;9.9;10.4;..;120;99;100;..;..;..;..
103;Turkmenistan;62.1;..;..;4;..;..;..;95.5;..;..;..;..;..
106;Samoa;..;38.1;16.1;..;..;..;..;47.7;49.5;..;..;..;..
107;Palestine, State of;40.3;26.7;38.8;22.9;5.7;..;70;99.3;8;..;..;..;..
108;Indonesia;70.7;57.2;22.2;6.2;6.9;52;90;67;8.1;..;..;..;..
109;Botswana;74.5;..;..;17.6;9;..;84;72.2;100;100;100;..;..
110;Egypt;51.2;23.1;24.8;9;9.3;14.4;90;99;32.7;8;61.7;0;0.1
111;Paraguay;71.5;..;11.2;5.7;14.6;11;63;76;22.2;20;24.9;2;5.1
112;Gabon;63.2;52.9;..;20.4;13.4;14.2;98;89.6;38.8;..;..;..;..
113;Bolivia (Plurinational State of);78.5;..;6.2;5.2;26.4;23.4;84;75.8;100;100;100;..;..
114;Moldova (Republic of);42.7;28.6;13.1;5.6;16.3;10.9;126;100;72.8;77;63.7;5.6;30.1
115;El Salvador;64.5;..;12.4;6.4;10.4;12.1;84;98.6;18.1;10.3;31.6;3.6;12.9
116;Uzbekistan;62.6;..;..;0.4;..;66.5;126;99.9;98.1;..;..;2.3;7
117;Philippines;69.3;39.8;16.3;7.3;..;40.9;60;90;28.5;..;..;..;..
118;South Africa;48.6;10.1;51.5;25.1;..;19.7;120;95;92.6;..;..;0.4;1.4
118;Syrian Arab Republic;47;32.9;19.2;8.6;4;12.9;120;96;16.7;..;..;..;..
120;Iraq;44;..;..;8;4.7;16.6;..;99.2;56;..;..;..;..
121;Guyana;56.2;..;..;..;16.4;..;..;87.9;100;..;..;13.4;39
121;Viet Nam;80.9;62.5;5.5;1.8;6.9;37.3;180;95;34.5;..;..;..;..
123;Cape Verde;66.8;..;..;..;3.2;..;..;91.4;55.7;52.8;59.8;..;..
124;Micronesia (Federated States of);..;..;..;..;..;..;..;..;..;..;..;..;..
125;Guatemala;69.1;..;7.5;2.9;25.8;..;84;96.7;14.1;10.3;18.2;1.7;5.6
125;Kyrgyzstan;70.7;47.3;..;8.4;3.6;25.5;126;96;100;100;100;3.6;14.1
127;Namibia;63.5;32.7;34.3;16.7;..;..;84;78;98.4;..;..;..;..
128;Timor-Leste;54;69.6;14.8;..;4.2;68.2;..;55.2;100;..;..;..;..
129;Honduras;66.6;..;8;4.3;15.6;29.6;84;93.6;8.4;5.8;13.8;..;..
129;Morocco;51.5;50.7;18.6;9;8.3;13;98;94;39.8;..;..;..;..
131;Vanuatu;..;70;..;5.5;..;..;..;43;3.5;..;..;..;..
132;Nicaragua;65.5;..;11.9;7.8;14.5;27.4;84;85;23.7;16.2;42.3;2.6;9
133;Kiribati;..;..;..;30.6;..;..;..;93.5;..;..;..;..;..
133;Tajikistan;71.1;..;16.7;11.5;10;48.3;140;88.3;80.2;72.1;95.6;2.3;2.9
135;India;60.8;80.8;10.7;9.3;11.8;74.5;84;41.1;24.1;..;..;7.8;13
136;Bhutan;81;53.1;7.2;2;2.9;50.8;..;99.9;3.2;..;..;..;..
136;Cambodia;85.8;..;3.4;7.1;36.1;53.1;90;62.1;5;..;..;..;..
138;Ghana;81.6;76.8;..;5.3;33.9;48.3;84;62.5;7.6;..;..;..;..
139;Lao People's Democratic Republic;85;..;..;1.4;10.1;64;90;74.8;5.6;..;..;..;..
140;Congo;78.6;75.1;..;10;24.7;72.9;105;91;22.1;4.7;42.4;..;..
141;Zambia;79.9;81;..;13.2;40.6;76.1;84;14;7.7;..;..;..;..
142;Bangladesh;73.4;85;..;4.5;12.8;80.1;112;30.5;39.5;..;..;..;..
142;Sao Tome and Principe;..;..;..;16.6;7.5;..;..;75.1;41.8;..;..;..;..
144;Equatorial Guinea;86.5;..;..;..;27.8;14;..;37;..;..;..;..;..
LOW HUMAN DEVELOPMENT;;;;;;;;;;;;;;
145;Nepal;85.2;..;..;..;33.9;74.1;52;42.3;62.5;..;..;..;..
