Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Algeria;-;-;-;-;-;-;-;-;52;-;60;54;56;-
Angola;-;-;-;-;-;-;-;52;-;73;-;72;56;61.7
Argentina;55;67;63;59;55;57;57;62;65;64;64;63;62;57.8
Australia;60;51;59;56;57;51;-;-;-;53;47;-;-;46.8
Austria;-;-;-;-;46;-;53;-;-;-;-;50;-;48.7
Bangladesh;-;-;-;-;-;-;-;-;-;-;24;-;-;-
Barbados;-;-;-;-;-;-;-;-;-;-;66;70;74;63.5
Belgium;30;35;35;39;44;35;37;36;37;45;44;37;34;30.4
Belize;-;-;-;-;-;-;-;-;-;-;-;-;-;69
Bolivia;-;-;-;-;-;-;-;76;-;76;-;-;-;73.1
Bosnia & Herzegovina;-;-;-;-;-;-;-;68;57;63;49;49;51;47.3
Botswana;-;-;-;-;-;-;-;-;-;-;-;71;67;67.1
Brazil;54;55;51;56;50;54;54;53;53;58;53;54;53;50
Burkina Faso;-;-;-;-;-;-;-;-;-;-;-;-;-;65.9
Cameroon;-;-;-;-;-;-;-;-;-;-;-;-;-;73.8
Canada;53;57;55;55;54;53;-;-;-;-;-;-;48;49
Chile;-;57;51;-;67;61;64;62;65;66;62;60;60;64.9
China;-;36;38;-;23;36;39;-;35;42;44;38;36;33
Colombia;-;-;-;-;-;67;69;66;65;65;61;57;58;57.4
Costa Rica;-;-;-;-;-;-;-;-;-;69;-;63;-;59.4
Croatia;-;40;37;42;59;58;61;60;59;53;49;44;47;45.9
Czech Republic;-;-;-;-;-;38;-;-;-;-;39;-;43;-
Denmark;41;37;37;40;38;36;36;32;35;41;35;31;-;34.9
Dominican Republic;-;-;-;-;-;-;83;76;78;-;-;-;-;-
Ecuador;-;-;-;76;-;-;-;70;73;77;-;72;74;72.8
Egypt;-;-;-;-;-;-;-;59;-;63;-;59;-;-
El Salvador;-;-;-;-;-;-;-;-;-;-;-;59;-;70.8
Estonia;-;-;-;-;-;-;-;-;-;-;-;43;40;42.5
Ethiopia;-;-;-;-;-;-;-;-;-;-;-;69;-;-
Finland;38;39;38;36;36;37;40;39;35;40;37;34;33;34.9
France;20;26;25;33;36;33;33;25;27;37;38;36;33;35.4
Georgia;-;-;-;-;-;-;-;-;-;-;-;-;-;37.5
Germany;30;35;38;36;41;39;-;35;40;42;37;37;38;36.4
Ghana;-;-;-;-;-;-;-;-;-;75;-;86;86;-
Greece;-;-;52;54;45;46;48;55;58;52;50;50;46;45.5
Guatemala;-;-;-;-;-;-;-;-;61;71;71;-;66;64.2
Hong Kong;-;23;22;24;-;-;32;-;19;-;-;-;-;-
Hungary;55;53;-;21;15;43;44;48;41;43;40;40;38;40.9
Iceland;-;46;48;48;47;50;46;52;50;49;-;-;-;-
India;40;42;-;-;-;62;73;58;-;-;-;-;56;36.7
Indonesia;-;-;-;-;-;56;-;-;-;-;-;-;62;60.2
Iran;-;-;-;-;-;-;-;61;58;66;46;54;57;59.5
Ireland;46;50;46;48;50;51;49;48;-;49;46;45;43;47.2
Israel;36;47;-;42;-;-;38;38;38;40;-;29;36;-
Italy;33;39;35;33;32;44;51;40;41;42;-;30;29;31.3
Jamaica;-;-;-;-;73;72;-;69;77;80;79;-;79;81.2
Japan;11;11;12;14;13;16;15;13;14;14;14;9;13;12.2
Jordan;-;-;-;71;-;-;-;-;57;-;-;-;-;-
Kazakhstan;-;-;-;-;-;-;41;-;-;-;-;-;-;52.5
Korea (South);29;31;-;-;-;-;-;30;53;29;27;27;28;-
Latvia;-;-;-;-;38;36;26;29;50;51;47;44;48;-
Lebanon;-;-;-;-;-;-;-;-;77;-;-;-;-;-
Libya;-;-;-;-;-;-;-;-;-;-;-;-;59;-
Lithuania;-;-;-;-;-;-;-;-;-;-;35;40;35;33.4
Luxembourg;-;-;-;-;-;-;-;-;-;-;-;-;43;37.6
Macedonia;-;-;-;-;-;-;-;62;-;60;-;55;50;-
Malawi;-;-;-;-;-;-;-;-;-;-;-;85;89;-
Malaysia;-;-;-;-;-;47;-;-;34;24;31;31;28;38.4
Mexico;50;61;-;-;46;41;-;59;-;65;61;62;59;53.5
Montenegro;-;-;-;-;-;-;-;-;-;71;-;-;-;-
Morocco;-;-;-;-;-;-;-;-;74;-;-;-;-;-
Namibia;-;-;-;-;-;-;-;-;-;-;-;74;74;-
Netherlands;37;37;32;37;42;38;39;38;47;46;42;42;42;44.3
New Zealand;66;63;62;66;60;-;-;-;-;-;-;-;-;-
Nigeria;-;-;-;-;-;-;-;-;-;-;-;88;87;-
Norway;36;42;40;42;42;39;36;41;44;40;33;34;34;30.5
Pakistan;-;-;-;-;-;-;-;-;-;56;43;49;-;-
Palestine;-;-;-;-;-;-;-;-;56;57;-;59;-;-
Panama;-;-;-;-;-;-;-;-;62;-;64;43;66;54.4
Peru;-;-;-;75;-;78;78;73;74;76;73;65;62;69.4
Philippines;-;-;-;-;-;72;-;-;-;-;-;-;68;66.2
Poland;39;22;-;50;-;-;-;-;-;-;52;54;52;54.3
Portugal;42;-;-;46;-;-;58;-;-;52;47;47;49;46.6
Puerto Rico;-;-;-;-;-;-;51;-;-;-;-;-;53;48.8
Qatar;-;-;-;-;-;-;-;-;-;-;-;-;-;60.9
Romania;-;-;-;-;-;-;29;24;27;38;42;38;46;48.4
Russia;-;15;-;-;-;25;9;18;24;23;33;24;28;27.8
Saudi Arabia;-;-;-;-;-;-;-;-;73;69;-;-;-;-
Serbia;-;-;-;-;-;-;63;64;72;-;-;-;-;-
Singapore;25;27;27;26;29;25;-;-;-;-;24;27;25;21.4
Slovak Republic;-;-;-;-;-;-;-;-;-;-;53;50;51;54.4
Slovenia;-;44;38;43;35;48;48;51;52;56;51;51;51;48.6
South Africa;30;28;32;35;35;36;-;37;35;44;43;40;43;37.7
Spain;49;49;31;41;48;46;45;47;48;50;51;50;48;48.1
Suriname;-;-;-;-;-;-;-;-;-;-;-;-;54;77.4
Sweden;44;43;42;42;45;42;42;-;-;42;40;37;39;36.7
Switzerland;-;49;50;-;51;-;41;-;49;44;42;37;45;41.6
Syria;-;-;-;-;-;-;-;-;62;-;-;-;-;-
Taiwan;-;31;-;-;-;-;-;-;-;26;29;26;27;29
Thailand;-;40;-;-;46;35;43;-;-;-;43;46;44;50.1
Tonga Islands;-;-;-;-;-;-;-;-;53;-;-;-;-;-
Trinidad & Tobago;-;-;-;-;-;-;-;-;-;83;81;76;75;75.2
Tunisia;-;-;-;-;-;-;-;-;40;53;-;62;-;-
Turkey;-;-;-;-;-;55;49;49;-;54;42;49;52;-
Uganda;-;-;86;78;-;-;-;-;85;87;-;88;84;84.9
