Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Argelia;-;-;-;-;-;-;-;-;4.7;-;3.1;3.3;5.4;-
Angola;-;-;-;-;-;-;-;4.1;-;8.7;-;9.1;8.5;6.5
Argentina;3.9;10.8;7.8;8.1;5;7;10;13.5;13.5;12.4;11.8;9.6;9.6;9.1
Australia;28;7.7;9.1;9.6;10.4;9.1;-;-;-;8.5;9.1;-;-;9.8
Austria;-;-;-;-;3.8;-;6;-;-;-;-;7.6;-;9.9
Bangladesh;-;-;-;-;-;-;-;-;-;-;11.6;-;-;-
Barbados;-;-;-;-;-;-;-;-;-;-;3.9;12.2;12.4;7.1
Belgium;3;2.2;2.2;4;5.6;2.1;1.4;2.6;2.5;2.7;6.8;5.1;5.9;3.5
Belize;-;-;-;-;-;-;-;-;-;-;-;-;-;3.7
Bolivia;-;-;-;-;-;-;-;19.1;-;18.2;-;-;-;7.6
Bosnia & Herzegovina;-;-;-;-;-;-;-;8.7;3.9;6.6;5;6;4.5;6.7
Botswana;-;-;-;-;-;-;-;-;-;-;-;6.3;3.4;5
Brazil;3.8;7.8;7.6;10.1;10.1;12.1;9.9;14.6;11.8;15.3;12.2;15.2;15.4;17.5
Burkina Faso;-;-;-;-;-;-;-;-;-;-;-;-;-;17.7
Cameroon;-;-;-;-;-;-;-;-;-;-;-;-;-;11.5
Canada;3.9;6.5;3.9;7;7.4;5.1;-;-;-;-;-;-;8.4;9.4
Chile;-;6.8;6.5;-;3.8;6.8;8.7;6.7;6.8;6;7;7.8;8.5;8.8
China;-;10.6;13.8;-;13.2;12.9;8.4;-;17.2;13.8;12.7;12.5;11;11.6
Colombia;-;-;-;-;-;10.4;11.6;14.1;12.9;12.2;7.5;6.7;5.9;4.9
Costa Rica;-;-;-;-;-;-;-;-;-;4.8;-;3.3;-;2.5
Croatia;-;2.2;2.5;2.1;3.7;4.1;4.2;4.8;4.8;2.9;4.2;3.1;3.3;3.6
Czech Republic;-;-;-;-;-;5.4;-;-;-;-;5.2;-;5.3;-
Denmark;4.2;5.5;5.7;5.1;4.4;5.3;6;3.3;4.7;5.6;4.9;3.4;-;5.1
Dominican Republic;-;-;-;-;-;-;7.6;8.2;11.4;-;-;-;-;-
Ecuador;-;-;-;10.1;-;-;-;11.9;16.1;14.7;-;18.9;18;17.7
Egypt;-;-;-;-;-;-;-;8;-;4.5;-;4.1;-;-
El Salvador;-;-;-;-;-;-;-;-;-;-;-;9.4;-;12.7
Estonia;-;-;-;-;-;-;-;-;-;-;-;7.2;5;5.7
Ethiopia;-;-;-;-;-;-;-;-;-;-;-;10.2;-;-
Finland;7.5;8.5;0.5;7.5;8.6;8.2;7.6;9.2;8.5;9.4;8.8;8;6.6;6.6
France;1.6;1.3;1.6;1.5;2.3;1.3;1.7;2.8;3.2;2.4;2.4;3.2;4.1;2.9
Georgia;-;-;-;-;-;-;-;-;-;-;-;-;-;7.3
Germany;4.2;4.8;4.6;4.3;4.2;3;-;4;5.1;5.7;5.6;5;5.1;5.2
Ghana;-;-;-;-;-;-;-;-;-;35.5;-;37.7;25.9;-
Greece;-;-;19.6;6.5;10.5;8.2;13.3;12.6;15.1;14.8;15.8;12.3;12.6;12.8
Guatemala;-;-;-;-;-;-;-;-;4.2;6.7;2.5;-;5.1;7.4
Hong Kong;-;2.6;3.5;2.7;-;-;5.6;-;2.9;-;-;-;-;-
Hungary;5.9;5.5;-;2.2;2;6.7;4.8;5.3;6.7;5.4;2;8.1;7.2;8
Iceland;-;10.4;7.3;7.3;7.3;6.7;8.8;7.1;8.9;7.4;-;-;-;-
India;8.8;12.1;-;-;-;5.6;5.5;16.5;-;-;-;-;10.7;3.7
Indonesia;-;-;-;-;-;17.6;-;-;-;-;-;-;21.2;11.9
Iran;-;-;-;-;-;-;-;6.8;6.5;12.2;11.2;9.5;10.6;10.9
Ireland;4.5;8;6.7;6.5;8.1;7.8;9;9;-;8.6;8;8.3;7.5;9.9
Israel;-;5.7;-;3.9;-;-;2.4;4.1;4.3;3.3;-;3.8;5.9;-
Italy;3.6;3.6;2.3;4.7;6.4;3;5.6;6.5;5.8;3.7;-;3.3;3.7;4.3
Jamaica;-;-;-;-;9.5;10.3;-;9.1;16.3;6.9;5.1;-;6.3;14.4
Japan;5.1;6.8;6;4.7;5.4;4.8;8.6;7.9;7.8;7.4;8.3;6.1;5.7;7.2
Jordan;-;-;-;21.9;-;-;-;-;5.3;-;-;-;-;-
Kazakhstan;-;-;-;-;-;-;5.8;-;-;-;-;-;-;7.4
Korea (South);10.5;10.2;-;-;-;-;-;12.8;11.8;11.2;10.9;9.6;9;-
Latvia;-;-;-;-;5;5.7;3.4;3;9;7.6;5.7;7.9;8.8;-
Lebanon;-;-;-;-;-;-;-;-;16;-;-;-;-;-
Libya;-;-;-;-;-;-;-;-;-;-;-;-;3.4;-
Lithuania;-;-;-;-;-;-;-;-;-;-;6.3;8.2;8.3;7.8
Luxembourg;-;-;-;-;-;-;-;-;-;-;-;-;2.4;3.7
Macedonia;-;-;-;-;-;-;-;11;-;7.6;-;6.7;7.3;-
Malawi;-;-;-;-;-;-;-;-;-;-;-;10.8;12;-
Malaysia;-;-;-;-;-;7.3;-;-;4.3;7.9;5.2;7;6;8.5
Mexico;5.8;1.5;-;-;1.9;2.3;-;4.9;-;0.4;3;4.7;4.2;4.5
Montenegro;-;-;-;-;-;-;-;-;-;7.8;-;-;-;-
Morocco;-;-;-;-;-;-;-;-;15.2;-;-;-;-;-
Namibia;-;-;-;-;-;-;-;-;-;-;-;3.2;7.9;-
Netherlands;3.8;4.6;3.8;6.1;5.7;6.6;6.4;7.2;8.1;9;8.7;9.5;8.7;9.6
New Zealand;12.8;11;11.1;9.6;10.8;-;-;-;-;-;-;-;-;-
Nigeria;-;-;-;-;-;-;-;-;-;-;-;15.7;17.5;-
Norway;6.5;6.3;6.1;6.3;7.3;6;4.8;7.7;8.3;6.7;6.6;5.8;6.2;5.4
Pakistan;-;-;-;-;-;-;-;-;-;4.7;4.1;3.8;-;-
Palestine;-;-;-;-;-;-;-;-;6.9;2;-;3;-;-
Panama;-;-;-;-;-;-;-;-;4.2;-;6;1.9;3.5;3.4
Peru;-;-;-;14.5;-;12.4;15.2;8.3;7.5;7.2;5.7;5.1;5.4;9.2
Philippines;-;-;-;-;-;19.7;-;-;-;-;-;-;6.6;6.2
Poland;4.7;2;-;8.2;-;-;-;-;-;-;5;5.8;6.5;7.3
Portugal;4.7;-;-;7.3;-;-;7.1;-;-;5.4;5.7;6.2;7.7;7.6
Puerto Rico;-;-;-;-;-;-;2.4;-;-;-;-;-;2;1.3
Qatar;-;-;-;-;-;-;-;-;-;-;-;-;-;3.5
Romania;-;-;-;-;-;-;2.5;2.1;3.4;2.1;4.6;3.9;5.3;7.6
Russia;-;1.1;-;-;-;1.2;1.7;1.1;2.3;2.8;2.8;2;3.4;4
Saudi Arabia;-;-;-;-;-;-;-;-;4.1;3.9;-;-;-;-
Serbia;-;-;-;-;-;-;5.3;9.3;10.1;-;-;-;-;-
Singapore;5.4;3.1;1.8;3.9;4.7;3.4;-;-;-;-;3.3;3.1;4.2;2.9
Slovak Republic;-;-;-;-;-;-;-;-;-;-;9.6;6.4;5.4;7.8
Slovenia;-;6.7;5.4;4.2;6.3;4.4;4.6;5.6;5.6;4.9;4.8;5.8;5.7;4.8
South Africa;0.8;1.1;1.1;1.4;1.3;1.7;-;2.3;1.4;2.1;2.3;2.3;2.9;2.7
Spain;4.7;8.4;4;7.8;7.7;5.4;6.4;9.1;6.4;7.7;8.9;8.7;8.4;7
Suriname;-;-;-;-;-;-;-;-;-;-;-;-;1.7;5.2
Sweden;5.7;6.8;5.3;6;6.3;5;4.7;-;-;6.4;7;5.2;6;6.5
Switzerland;-;6.8;7.3;-;9.7;-;6.6;-;8.4;8.7;10.1;8.4;10;9.1
Syria;-;-;-;-;-;-;-;-;6.7;-;-;-;-;-
Taiwan;-;8.3;-;-;-;-;-;-;-;7.2;6.3;10.4;8.3;12.2
Thailand;-;13.3;-;-;14.1;17.4;21.4;-;-;-;30.1;29.7;28;33.1
Tonga Islands;-;-;-;-;-;-;-;-;2.3;-;-;-;-;-
Trinidad & Tobago;-;-;-;-;-;-;-;-;-;8.5;6.9;7.2;11.4;8.5
Tunisia;-;-;-;-;-;-;-;-;10.2;9;-;4.4;-;-
Turkey;-;-;-;-;-;11.4;5.5;4.8;-;10.7;8;8.7;5.7;-
Uganda;-;-;16.2;12.7;-;-;-;-;21.9;27.7;-;31.2;36.1;35.9
United Arab Emirates;-;-;-;-;-;1.4;3.4;-;5.7;-;2.7;-;-;-
United Kingdom;3.3;5.5;5.8;5.1;5.1;5.4;5.1;6;6.1;6.4;7.2;6.2;6.6;6.5
United States of America;5.8;5.7;5.4;5.4;4.7;5.4;5;8.3;5.9;7.7;9.1;8.6;7.5;7
Uruguay;-;-;-;-;-;6.9;6.6;7.9;5.9;7.2;5.9;5;4.9;6.7
Vanuatu;-;-;-;-;-;-;-;-;-;23.2;-;-;-;-
Venezuela;-;-;9.6;-;8.6;-;5.4;-;6.5;-;1.6;-;-;-
Vietnam;-;-;-;-;-;-;-;-;-;-;-;-;16.4;22.2
Yemen;-;-;-;-;-;-;-;-;2.9;-;-;-;-;-
Zambia;-;-;-;-;-;-;-;-;-;9.6;-;3.8;16.6;-
