Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Algeria;-;-;-;-;-;-;-;-;13.4;-;5.6;5.4;3.3;-
Angola;-;-;-;-;-;-;-;25.2;-;31;-;30.6;20.4;20.4
Argentina;5.7;11.5;13.1;9;7.4;6.6;11.3;15.9;11.4;12.3;17.1;14.2;12.9;11.2
Australia;9.4;5.6;9.6;11;7.4;9.7;-;-;-;7.8;8.4;-;-;10.3
Austria;-;-;-;-;3.7;-;1.8;-;-;-;-;8.1;-;7.1
Bangladesh;-;-;-;-;-;-;-;-;-;-;4.3;-;-;-
Barbados;-;-;-;-;-;-;-;-;-;-;5.5;16.1;19.6;11.2
Belgium;2.8;1.5;2;2;2.4;1;2;1.7;2.5;3.3;4.5;2.6;3.4;3.1
Belize;-;-;-;-;-;-;-;-;-;-;-;-;-;6.5
Bolivia;-;-;-;-;-;-;-;27.9;-;36.5;-;-;-;25
Bosnia & Herzegovina;-;-;-;-;-;-;-;6.9;3;4.2;5.2;5.1;7.1;4.3
Botswana;-;-;-;-;-;-;-;-;-;-;-;25.4;19.9;30.9
Brazil;10.2;11.1;11.7;11.3;10.8;9.6;12.7;11;15.8;16.4;14.5;14.7;17.4;17.5
Burkina Faso;-;-;-;-;-;-;-;-;-;-;-;-;-;18.7
Cameroon;-;-;-;-;-;-;-;-;-;-;-;-;-;34.1
Canada;8;6.4;5.4;6.1;5.5;6;-;-;-;-;-;-;9.9;9.9
Chile;-;9.5;16;-;8.2;7;10.4;11.2;12.6;14.4;21;19.1;19;23.7
China;-;10.3;11.6;-;11.6;15;13.4;-;16.5;12.4;22.4;11;12.2;14.2
Colombia;-;-;-;-;-;17.3;18.8;19.1;19.9;18.4;16.3;17.6;17.3;14.6
Costa Rica;-;-;-;-;-;-;-;-;-;13.6;-;10.7;-;11
Croatia;-;1.8;1.4;1.7;2.6;4.9;5.1;4.5;2.8;3.9;4.7;4.9;5.1;4.8
Czech Republic;-;-;-;-;-;4.9;-;-;-;-;4.2;-;4.1;-
Denmark;4.3;4.2;2.9;3.2;3;3.3;4.6;2.7;2.5;2.3;2.9;3.1;-;3.8
Dominican Republic;-;-;-;-;-;-;14.5;15.5;14.9;-;-;-;-;-
Ecuador;-;-;-;24.4;-;-;-;15.9;15.6;19;-;27.4;32.6;32.2
Egypt;-;-;-;-;-;-;-;5.9;-;4.4;-;2.4;-;-
El Salvador;-;-;-;-;-;-;-;-;-;-;-;14.3;-;19.7
Estonia;-;-;-;-;-;-;-;-;-;-;-;9.7;9.4;7.7
Ethiopia;-;-;-;-;-;-;-;-;-;-;-;12.9;-;-
Finland;6;3.5;1.3;3;4.4;4;4.8;4.5;4.2;3.9;4.3;4.1;4;4.6
France;3.5;2.1;1.6;3.8;3.3;2.5;2.2;3.3;2;4.8;2.9;4;3.1;4
Georgia;-;-;-;-;-;-;-;-;-;-;-;-;-;6.5
Germany;3.9;3.4;3.3;2.6;3.8;2.6;-;3.4;3.7;2.9;4.5;3.5;3.9;4
Ghana;-;-;-;-;-;-;-;-;-;37.1;-;38;27.9;-
Greece;-;-;4;2.9;3.4;4.7;3.5;7.7;6;4.1;5.8;4.4;3.2;5.8
Guatemala;-;-;-;-;-;-;-;-;18;14.7;19.2;-;10.5;16.9
Hong Kong;-;2.3;2;1.5;-;-;5.8;-;2.2;-;-;-;-;-
Hungary;7.9;4.4;-;3.5;2.3;4.1;4.5;5.3;6.4;4.3;4.3;5.8;7;5.3
Iceland;-;7.9;7.6;9.5;6.4;5.4;7.4;7.2;8;7.1;-;-;-;-
India;4.9;12.3;-;-;-;8.9;7.5;7.1;-;-;-;-;6.4;4.6
Indonesia;-;-;-;-;-;18.7;-;-;-;-;-;-;25;15.2
Iran;-;-;-;-;-;-;-;4.5;6.5;4.1;4.6;5.9;6.5;10.5
Ireland;6.8;5.5;3.7;5;5.5;4.2;5.9;4;-;3.9;4.2;4;6.4;4.2
Israel;2.3;3.1;-;4.6;-;-;3.7;4;4.2;3.4;-;5.5;6.5;-
Italy;9;4;3;2.3;3.7;3.1;3.3;2.8;1.8;2;-;2.9;2.1;3.2
Jamaica;-;-;-;-;15.7;18.1;-;14.4;19.4;9.2;12.6;-;12.3;17.3
Japan;2;0.5;1.3;1.2;1.2;2.6;5.2;3;1.5;1.5;3.2;2.1;2.7;1.5
Jordan;-;-;-;13.2;-;-;-;-;4.5;-;-;-;-;-
Kazakhstan;-;-;-;-;-;-;7.6;-;-;-;-;-;-;13.2
Korea (South);8.5;8.6;-;-;-;-;-;5;3.5;2.1;3.8;2.3;3.9;-
Latvia;-;-;-;-;5;3.9;1.4;3.7;7.5;6.5;8.3;8.2;10.1;-
Lebanon;-;-;-;-;-;-;-;-;10.2;-;-;-;-;-
Libya;-;-;-;-;-;-;-;-;-;-;-;-;7.2;-
Lithuania;-;-;-;-;-;-;-;-;-;-;7.2;4.2;7.8;6.8
Luxembourg;-;-;-;-;-;-;-;-;-;-;-;-;5.6;5.3
Macedonia;-;-;-;-;-;-;-;8.6;-;4;-;4.5;3.8;-
Malawi;-;-;-;-;-;-;-;-;-;-;-;32.1;27.3;-
Malaysia;-;-;-;-;-;11.1;-;-;3.7;4.8;4;6.2;5.5;6.8
Mexico;12.6;10.3;-;-;4.5;4.5;-;11.9;-;10.2;8.5;12.1;13;18.3
Montenegro;-;-;-;-;-;-;-;-;-;10.5;-;-;-;-
Morocco;-;-;-;-;-;-;-;-;11.8;-;-;-;-;-
Namibia;-;-;-;-;-;-;-;-;-;-;-;17.5;34.4;-
Netherlands;3.9;3.5;2.4;3.1;2.1;3.6;3.7;3.3;5.9;4.4;6;6.7;6.8;7.3
New Zealand;13.4;10.6;10;12.1;13.7;-;-;-;-;-;-;-;-;-
Nigeria;-;-;-;-;-;-;-;-;-;-;-;35.6;40.7;-
Norway;4.6;4.6;3.9;3.5;4.5;5.7;3.8;5.2;4.5;3.8;4.2;3.6;3.6;4
Pakistan;-;-;-;-;-;-;-;-;-;3.4;1.7;1.2;-;-
Palestine;-;-;-;-;-;-;-;-;3.4;7;-;3.4;-;-
Panama;-;-;-;-;-;-;-;-;8.2;-;19.6;10.4;17.4;16.1
Peru;-;-;-;39.1;-;39.3;26.1;23.6;18.4;25.7;19;17.6;19.6;28
Philippines;-;-;-;-;-;22.5;-;-;-;-;-;-;18;20.8
Poland;6.4;3.2;-;5;-;-;-;-;-;-;5;6.2;6.2;6
Portugal;3.8;-;-;3.8;-;-;5.9;-;-;3;4.7;6.2;5.8;8.4
Puerto Rico;-;-;-;-;-;-;3;-;-;-;-;-;6.1;9.1
Qatar;-;-;-;-;-;-;-;-;-;-;-;-;-;10.3
Romania;-;-;-;-;-;-;3.1;2.1;3.2;3.2;7.3;5.3;7.9;6.6
Russia;-;1.5;-;-;-;2.6;1.6;2.5;3.2;3.5;4.1;3.4;5.3;3.7
Saudi Arabia;-;-;-;-;-;-;-;-;0.7;5.9;-;-;-;-
Serbia;-;-;-;-;-;-;5.1;5.2;2.8;-;-;-;-;-
Singapore;3.4;2.7;3.5;3.3;5;3.7;-;-;-;-;7.2;10;8.2;7.2
