HDI Rank;Country;2013
1;Norway;25.8
2;Australia;30.3
3;Switzerland;33.7
4;Netherlands;30.9
5;United States;40.8
6;Germany;28.3
7;New Zealand;..
8;Canada;32.6
9;Singapore;..
10;Denmark;..
11;Ireland;34.3
12;Sweden;25
13;Iceland;..
14;United Kingdom;36
15;Hong Kong, China (SAR);..
15;Korea (Republic of);31.1
17;Japan;37.6
18;Liechtenstein;..
19;Israel;39.2
20;France;30.9
21;Austria;29.2
21;Belgium;33
21;Luxembourg;30.8
24;Finland;26.9
25;Slovenia;31.2
26;Italy;36
27;Spain;34.7
28;Czech Republic;..
29;Greece;34.3
30;Brunei Darussalam;..
31;Qatar;41.1
32;Cyprus;..
33;Estonia;36
34;Saudi Arabia;..
35;Lithuania;37.6
35;Poland;32.7
37;Andorra;..
37;Slovakia;26
39;Malta;..
40;United Arab Emirates;..
41;Chile;52.1
41;Portugal;..
43;Hungary;31.2
44;Bahrain;..
44;Cuba;..
46;Kuwait;..
47;Croatia;33.7
48;Latvia;34.8
49;Argentina;44.5
50;Uruguay;45.3
51;Bahamas;..
51;Montenegro;28.6
53;Belarus;26.5
54;Romania;27.4
55;Libya;..
56;Oman;..
57;Russian Federation;40.1
58;Bulgaria;28.2
59;Barbados;..
60;Palau;..
61;Antigua and Barbuda;..
62;Malaysia;46.2
63;Mauritius;..
64;Trinidad and Tobago;..
65;Lebanon;..
65;Panama;51.9
67;Venezuela (Bolivarian Republic of);44.8
68;Costa Rica;50.7
69;Turkey;40
70;Kazakhstan;29
71;Mexico;47.2
71;Seychelles;65.8
73;Saint Kitts and Nevis;..
73;Sri Lanka;36.4
75;Iran (Islamic Republic of);38.3
76;Azerbaijan;33.7
77;Jordan;35.4
77;Serbia;29.6
79;Brazil;54.7
79;Georgia;42.1
79;Grenada;..
82;Peru;48.1
83;Ukraine;25.6
84;Belize;53.1
84;The former Yugoslav Republic of Macedonia;43.6
86;Bosnia and Herzegovina;36.2
87;Armenia;31.3
88;Fiji;42.8
89;Thailand;39.4
90;Tunisia;36.1
91;China;42.1
91;Saint Vincent and the Grenadines;..
93;Algeria;..
93;Dominica;..
95;Albania;34.5
96;Jamaica;45.5
97;Saint Lucia;..
98;Colombia;55.9
98;Ecuador;49.3
100;Suriname;52.9
100;Tonga;..
102;Dominican Republic;47.2
103;Maldives;37.4
103;Mongolia;36.5
103;Turkmenistan;..
106;Samoa;..
107;Palestine, State of;35.5
108;Indonesia;38.1
109;Botswana;..
110;Egypt;30.8
111;Paraguay;52.4
112;Gabon;41.5
113;Bolivia (Plurinational State of);56.3
114;Moldova (Republic of);33
115;El Salvador;48.3
116;Uzbekistan;36.7
117;Philippines;43
118;South Africa;63.1
118;Syrian Arab Republic;35.8
120;Iraq;30.9
121;Guyana;..
121;Viet Nam;35.6
123;Cape Verde;50.5
124;Micronesia (Federated States of);61.1
125;Guatemala;55.9
125;Kyrgyzstan;33.4
127;Namibia;63.9
128;Timor-Leste;..
129;Honduras;57
129;Morocco;40.9
131;Vanuatu;..
132;Nicaragua;40.5
133;Kiribati;..
133;Tajikistan;30.8
135;India;33.9
136;Bhutan;38.1
136;Cambodia;36
138;Ghana;42.8
139;Lao People's Democratic Republic;36.7
140;Congo;47.3
141;Zambia;57.5
142;Bangladesh;32.1
142;Sao Tome and Principe;50.8
144;Equatorial Guinea;..
145;Nepal;32.8
146;Pakistan;30
147;Kenya;47.7
148;Swaziland;51.5
149;Angola;42.7
150;Myanmar;..
151;Rwanda;50.8
152;Cameroon;38.9
152;Nigeria;48.8
154;Yemen;37.7
155;Madagascar;44.1
156;Zimbabwe;..
157;Papua New Guinea;..
157;Solomon Islands;..
159;Comoros;64.3
159;Tanzania (United Republic of);37.6
161;Mauritania;40.5
162;Lesotho;52.5
163;Senegal;40.3
164;Uganda;44.3
165;Benin;38.6
166;Sudan;35.3
166;Togo;39.3
168;Haiti;59.2
169;Afghanistan;27.8
170;Djibouti;40
171;Céte d'Ivoire;41.5
172;Gambia;47.3
173;Ethiopia;33.6
174;Malawi;43.9
175;Liberia;38.2
176;Mali;33
177;Guinea-Bissau;35.5
178;Mozambique;45.7
179;Guinea;39.4
180;Burundi;33.3
181;Burkina Faso;39.8
182;Eritrea;..
183;Sierra Leone;35.4
184;Chad;39.8
185;Central African Republic;56.3
186;Congo (Democratic Republic of the);44.4
187;Niger;34.6
..;Korea (Democratic People's Rep. of);..
..;Marshall Islands;..
..;Monaco;..
..;Nauru;..
..;San Marino;..
..;Somalia;..
..;South Sudan;45.5
..;Tuvalu;..
