Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Algeria;-;-;-;-;51;-;46;47;62;-
Angola;-;-;-;30;-;30;-;38;40;43.4
Argentina;34;53;41;47;37;43;45;47;47;43.5
Australia;63;62;-;-;-;59;73;-;-;63.8
Austria;58;-;56;-;-;-;-;38;-;37.4
Bangladesh;-;-;-;-;-;-;50;-;-;-
Barbados;-;-;-;-;-;-;60;63;48;53.1
Belgium;45;52;50;46;55;52;72;62;44;43.1
Belize;-;-;-;-;-;-;-;-;-;47.6
Bolivia;-;-;-;46;-;57;-;-;-;51.7
Bosnia & Herzegovina;-;-;-;29;20;30;22;20;22;25.2
Botswana;-;-;-;-;-;-;-;48;52;54.7
Brazil;38;40;38;46;48;46;45;59;57;57.8
Burkina Faso;-;-;-;-;-;-;-;-;-;52.8
Cameroon;-;-;-;-;-;-;-;-;-;40.5
Canada;67;69;-;-;-;-;-;-;67;63.3
Chile;58;55;60;45;42;52;54;69;58;62.2
China;43;28;43;-;29;34;29;39;36;45.4
Colombia;-;44;42;42;45;41;30;48;27;51.6
Costa Rica;-;-;-;-;-;38;-;48;-;63.5
Croatia;35;38;40;57;39;49;31;36;30;28.7
Czech Republic;-;61;-;-;-;-;57;-;60;-
Denmark;65;80;72;60;56;54;64;71;-;60.2
Dominican Republic;-;-;40;29;26;-;-;-;-;-
Ecuador;-;-;-;47;43;45;-;30;32;35
Egypt;-;-;-;60;-;25;-;23;-;-
El Salvador;-;-;-;-;-;-;-;39;-;54.5
Estonia;-;-;-;-;-;-;-;49;50;41.2
Ethiopia;-;-;-;-;-;-;-;69;-;-
Finland;63;62;65;63;62;54;59;60;66;63.1
France;40;46;51;62;67;56;71;59;61;69.2
Georgia;-;-;-;-;-;-;-;-;-;31
Germany;45;38;-;49;43;48;55;51;56;53.7
Ghana;-;-;-;-;-;35;-;51;44;-
Greece;62;48;57;39;47;39;37;32;36;30.5
Guatemala;-;-;-;-;32;27;33;-;44;38.9
Hong Kong;-;-;60;-;49;-;-;-;-;-
Hungary;43;51;46;49;45;43;29;35;39;36.3
Iceland;71;72;70;71;58;69;-;-;-;-
India;-;43;27;43;-;-;-;-;36;36.5
Indonesia;-;61;-;-;-;-;-;-;44;38
Iran;-;-;-;42;35;40;32;36;36;49.6
Ireland;68;62;47;45;-;33;37;41;44;48.6
Israel;-;-;47;53;48;55;-;46;49;-
Italy;63;59;62;60;57;55;-;22;18;38.6
Jamaica;39;39;-;25;45;39;40;-;34;33.5
Japan;66;74;53;68;62;47;64;66;60;68.2
Jordan;-;-;-;-;35;-;-;-;-;-
Kazakhstan;-;-;46;-;-;-;-;-;-;33.7
Korea (South);-;-;-;51;37;49;36;46;51;-
Latvia;47;58;41;54;54;51;46;46;53;-
Lebanon;-;-;-;-;60;-;-;-;-;-
Libya;-;-;-;-;-;-;-;-;60;-
Lithuania;-;-;-;-;-;-;47;51;55;43.8
Luxembourg;-;-;-;-;-;-;-;-;57;59.8
Macedonia;-;-;-;13;-;23;-;29;23;-
Malawi;-;-;-;-;-;-;-;43;29;-
Malaysia;-;49;-;-;44;41;72;61;65;64
Mexico;42;39;-;53;-;42;55;52;26;50
Montenegro;-;-;-;-;-;38;-;-;-;-
Morocco;-;-;-;-;57;-;-;-;-;-
Namibia;-;-;-;-;-;-;-;37;33;-
Netherlands;58;74;57;71;57;64;62;66;67;62.8
New Zealand;79;-;-;-;-;-;-;-;-;-
Nigeria;-;-;-;-;-;-;-;53;52;-
Norway;72;82;59;-;74;74;70;70;61;69
Pakistan;-;-;-;-;-;39;25;24;-;-
Palestine;-;-;-;-;33;33;-;27;-;-
Panama;-;-;-;-;59;-;40;57;40;60.2
Peru;-;54;45;45;42;48;52;53;54;58.9
Philippines;-;42;-;-;-;-;-;-;38;33.5
Poland;-;-;-;-;-;-;32;30;33;47.1
Portugal;-;-;53;-;-;52;58;53;51;49.3
Puerto Rico;-;-;59;-;-;-;-;-;43;51.1
Qatar;-;-;-;-;-;-;-;-;-;54.4
Romania;-;-;38;34;31;47;34;38;32;49.8
Russia;-;25;27;31;37;30;42;31;42;41.6
Saudi Arabia;-;-;-;-;63;75;-;-;-;-
Serbia;-;-;27;44;46;-;-;-;-;-
Singapore;67;61;-;-;-;-;53;54;69;70.8
Slovak Republic;-;-;-;-;-;-;34;43;40;51.8
Slovenia;64;66;76;68;69;54;51;64;53;44.8
South Africa;34;45;-;56;38;31;39;40;32;35.5
Spain;55;56;50;48;41;42;39;33;33;33.5
Suriname;-;-;-;-;-;-;-;-;58;39.8
Sweden;61;74;76;-;-;72;68;49;58;56.2
Switzerland;55;-;63;-;67;60;61;57;67;58.1
Syria;-;-;-;-;43;-;-;-;-;-
Taiwan;-;-;-;-;-;48;50;43;46;66
Thailand;57;57;47;-;-;-;67;67;68;71.2
Tonga Islands;-;-;-;-;39;-;-;-;-;-
Trinidad & Tobago;-;-;-;-;-;47;44;60;76;64.3
Tunisia;-;-;-;-;57;48;-;42;-;-
Turkey;-;23;35;41;-;47;45;5;;
