HDI Rank;Country;2013
1;Norway;0.93
2;Australia;0.935
3;Switzerland;0.926
4;Netherlands;0.922
5;United States;0.907
6;Germany;0.918
7;New Zealand;0.91
8;Canada;0.899
9;Singapore;0.898
10;Denmark;0.893
11;Ireland;0.908
12;Sweden;0.885
13;Iceland;0.893
14;United Kingdom;0.891
15;Korea (Republic of);0.912
15;Hong Kong, China (SAR);0.896
17;Japan;0.902
18;Liechtenstein;..
19;Israel;0.888
20;France;0.878
21;Luxembourg;0.884
21;Belgium;0.878
21;Austria;0.884
24;Finland;0.867
25;Slovenia;0.865
26;Italy;0.874
27;Spain;0.866
28;Czech Republic;0.866
29;Greece;0.858
30;Brunei Darussalam;0.844
31;Qatar;0.846
32;Cyprus;0.856
33;Estonia;0.809
34;Saudi Arabia;0.835
35;Poland;0.819
35;Lithuania;0.807
37;Slovakia;0.819
37;Andorra;..
39;Malta;0.836
40;United Arab Emirates;0.815
41;Portugal;0.824
41;Chile;0.82
43;Hungary;0.803
44;Cuba;0.76
44;Bahrain;0.797
46;Kuwait;0.802
47;Croatia;0.807
48;Latvia;0.782
49;Argentina;0.799
50;Uruguay;0.768
51;Montenegro;..
51;Bahamas;..
53;Belarus;0.767
54;Romania;0.772
55;Libya;0.776
56;Oman;..
57;Russian Federation;0.744
58;Bulgaria;0.765
59;Barbados;0.777
60;Palau;..
61;Antigua and Barbuda;..
62;Malaysia;0.776
63;Mauritius;0.776
64;Trinidad and Tobago;0.756
65;Panama;0.77
65;Lebanon;0.781
67;Venezuela (Bolivarian Republic of);0.739
68;Costa Rica;0.762
69;Turkey;0.782
70;Kazakhstan;0.721
71;Seychelles;..
71;Mexico;0.762
73;Sri Lanka;0.722
73;Saint Kitts and Nevis;..
75;Iran (Islamic Republic of);0.771
76;Azerbaijan;0.729
77;Serbia;..
77;Jordan;0.742
79;Grenada;..
79;Georgia;0.742
79;Brazil;..
82;Peru;0.742
83;Ukraine;0.714
84;The former Yugoslav Republic of Macedonia;0.739
84;Belize;0.721
86;Bosnia and Herzegovina;..
87;Armenia;0.717
88;Fiji;0.696
89;Thailand;0.701
90;Tunisia;0.74
91;Saint Vincent and the Grenadines;..
91;China;0.724
93;Dominica;..
93;Algeria;0.717
95;Albania;0.718
96;Jamaica;0.7
97;Saint Lucia;..
98;Ecuador;..
98;Colombia;0.705
100;Tonga;0.696
100;Suriname;0.679
102;Dominican Republic;..
103;Turkmenistan;..
103;Mongolia;0.661
103;Maldives;0.697
106;Samoa;0.692
107;Palestine, State of;0.699
108;Indonesia;0.67
109;Botswana;0.692
110;Egypt;0.693
111;Paraguay;0.669
112;Gabon;..
113;Bolivia (Plurinational State of);0.677
114;Moldova (Republic of);0.654
115;El Salvador;0.662
116;Uzbekistan;0.648
117;Philippines;0.634
118;Syrian Arab Republic;0.638
118;South Africa;..
120;Iraq;0.631
121;Viet Nam;..
121;Guyana;0.602
123;Cape Verde;..
124;Micronesia (Federated States of);..
125;Kyrgyzstan;0.611
125;Guatemala;0.632
127;Namibia;0.617
128;Timor-Leste;0.632
129;Morocco;0.639
129;Honduras;0.625
131;Vanuatu;0.667
132;Nicaragua;0.628
133;Tajikistan;0.609
133;Kiribati;..
135;India;0.606
136;Cambodia;0.572
136;Bhutan;..
138;Ghana;0.567
139;Lao People's Democratic Republic;0.569
140;Congo;0.535
141;Zambia;0.542
142;Sao Tome and Principe;0.551
142;Bangladesh;0.56
144;Equatorial Guinea;..
145;Nepal;0.533
146;Pakistan;0.568
147;Kenya;0.541
148;Swaziland;0.549
149;Angola;..
150;Myanmar;..
151;Rwanda;0.479
152;Nigeria;0.503
152;Cameroon;0.525
154;Yemen;0.532
155;Madagascar;0.486
156;Zimbabwe;0.424
157;Solomon Islands;..
157;Papua New Guinea;..
159;Tanzania (United Republic of);0.498
159;Comoros;..
161;Mauritania;0.517
162;Lesotho;0.472
163;Senegal;0.506
164;Uganda;0.49
165;Benin;0.507
166;Togo;0.479
166;Sudan;..
168;Haiti;..
169;Afghanistan;0.53
170;Djibouti;..
171;Cªte d'Ivoire;..
172;Gambia;..
173;Ethiopia;0.456
174;Malawi;0.443
175;Liberia;0.45
176;Mali;0.434
177;Guinea-Bissau;..
178;Mozambique;0.385
179;Guinea;0.422
180;Burundi;0.381
181;Burkina Faso;0.399
182;Eritrea;..
183;Sierra Leone;0.396
184;Chad;0.401
185;Central African Republic;0.386
186;Congo (Democratic Republic of the);0.346
187;Niger;0.364
..;South Sudan;..
..;Tuvalu;..
..;Somalia;..
..;San Marino;..
..;Nauru;..
..;Monaco;..
..;Marshall Islands;..
..;Korea (Democratic People's Rep. of);..
