Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Algeria;-;-;-;-;-;-;-;-;11.3;-;5.3;1.6;2.2;-
Angola;-;-;-;-;-;-;-;19.3;-;15.9;-;14.9;8;9.5
Argentina;7.6;8.5;12.4;9.2;5.9;6.4;7.8;8.5;6.1;7;11.8;11.8;10.5;9.5
Australia;14.5;3.7;6.6;8;6;7.3;-;-;-;3.9;6;-;-;7.7
Austria;-;-;-;-;3;-;1.5;-;-;-;-;6.6;-;5.8
Bangladesh;-;-;-;-;-;-;-;-;-;-;7.1;-;-;-
Barbados;-;-;-;-;-;-;-;-;-;-;6.8;10;11.1;8.5
Belgium;2;2.1;2.8;2.2;2.9;1.8;2.7;2;2;2.6;2.7;3.3;3.1;2.9
Belize;-;-;-;-;-;-;-;-;-;-;-;-;-;4.3
Bolivia;-;-;-;-;-;-;-;17.4;-;29;-;-;-;21.5
Bosnia & Herzegovina;-;-;-;-;-;-;-;6.4;3.1;4.1;5.4;4.5;5.8;4.5
Botswana;-;-;-;-;-;-;-;-;-;-;-;17;11;23.1
Brazil;7.3;5.7;6.5;5;3.3;3.5;4.3;2.9;5.8;5.9;4.1;4.5;5.1;3.7
Burkina Faso;-;-;-;-;-;-;-;-;-;-;-;-;-;12.7
Cameroon;-;-;-;-;-;-;-;-;-;-;-;-;-;26.4
Canada;6.6;6.5;5.4;6;6.5;4.1;-;-;-;-;-;-;7.8;7.9
Chile;-;10.4;10.9;-;6;5.7;7.3;7.7;9.5;11.4;14.6;14.7;15.4;16.6
China;-;5.8;4.6;-;5.6;4.4;6.9;-;7.4;4.9;10.1;5.4;5.2;5.5
Colombia;-;-;-;-;-;10.8;8;13.8;15.5;8.7;15.2;13.6;13.6;12.4
Costa Rica;-;-;-;-;-;-;-;-;-;10.6;-;10;-;7.6
Croatia;-;2.8;1.7;2.7;4.1;6.3;5.3;4.9;3.5;4.1;5.3;6.4;6.3;6
Czech Republic;-;-;-;-;-;6.4;-;-;-;-;5.1;-;4.9;-
Denmark;3;3.6;3;2.5;2.4;2.9;2.3;2.2;1.6;1.8;3.1;3.1;-;3.1
Dominican Republic;-;-;-;-;-;-;9.8;11.7;8.8;-;-;-;-;-
Ecuador;-;-;-;16.9;-;-;-;8.7;6.3;10.6;-;16.7;25.3;24.5
Egypt;-;-;-;-;-;-;-;7.9;-;2.1;-;3.1;-;-
El Salvador;-;-;-;-;-;-;-;-;-;-;-;7.7;-;11.4
Estonia;-;-;-;-;-;-;-;-;-;-;-;9.5;8.8;6.3
Ethiopia;-;-;-;-;-;-;-;-;-;-;-;5.7;-;-
Finland;2;2.7;3;2.6;3.1;2.9;4.3;4.1;2.9;2.4;3;3.5;2.7;3.5
France;1.9;2.3;0.9;4.9;4.7;3.8;2.3;3.8;3.1;3.8;4.1;3.7;2.7;3.7
Georgia;-;-;-;-;-;-;-;-;-;-;-;-;-;4.1
Germany;3.8;3.5;3.5;2.8;3.1;2.9;-;2.4;2.2;2.5;3.4;3.5;3.1;3.1
Ghana;-;-;-;-;-;-;-;-;-;10.9;-;15.4;8.5;-
Greece;-;-;2.9;3.7;5.2;5.7;4.6;5.3;4.5;2.1;4.4;3.8;3.3;4.6
Guatemala;-;-;-;-;-;-;-;-;12.1;8.3;11.8;-;7.6;12
Hong Kong;-;2;1.7;1.5;-;-;5.7;-;1.6;-;-;-;-;-
Hungary;5.5;3.4;-;2.7;1.1;3.2;3.8;3.8;5.4;4.9;4.8;5.8;6;5.6
Iceland;-;5.7;7.2;7.7;8.4;7.2;8.5;6.5;7.6;7.4;-;-;-;-
India;6.9;9;-;-;-;5.2;6;6.9;-;-;-;-;5.1;4.1
