Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Algeria;-;-;-;-;-;-;-;-;18;-;37;30;21;-
Angola;-;-;-;-;-;-;-;35;-;36;-;24;26;24.5
Argentina;39;50;38;29;30;26;32;38;47;36;33;35;30;28
Australia;-;17;13;18;13;11;-;-;-;19;15;-;-;17.6
Austria;-;-;-;-;14;-;6;-;-;-;-;11;-;11
Bangladesh;-;-;-;-;-;-;-;-;-;-;27;-;-;-
Barbados;-;-;-;-;-;-;-;-;-;-;7;12;13;14.6
Belgium;11;10;8;5;10;7;6;9;9;10;10;18;29;30.7
Belize;-;-;-;-;-;-;-;-;-;-;-;-;-;13.1
Bolivia;-;-;-;-;-;-;-;29;-;17;-;-;-;22.8
Bosnia & Herzegovina;-;-;-;-;-;-;-;43;39;46;61;58;59;50.8
Botswana;-;-;-;-;-;-;-;-;-;-;-;33;26;30.3
Brazil;37;55;43;46;47;48;42;33;39;31;31;30;29;29
Burkina Faso;-;-;-;-;-;-;-;-;-;-;-;-;-;22.3
Cameroon;-;-;-;-;-;-;-;-;-;-;-;-;-;33.5
Canada;26;12;14;15;13;14;-;-;-;-;-;-;15;15.7
Chile;-;43;35;-;26;28;24;27;25;29;27;17;20;17.6
China;-;52;52;-;45;51;38;-;48;42;41;37;34;33.2
Colombia;-;-;-;-;-;39;41;41;34;40;25;12;18;33.3
Costa Rica;-;-;-;-;-;-;-;-;-;32;-;20;-;19.3
Croatia;-;22;23;42;50;44;40;28;37;32;35;34;37;46.6
Czech Republic;-;-;-;-;-;31;-;-;-;-;27;-;23;-
Denmark;3;7;6;7;3;4;5;5;7;8;7;8;-;5.4
Dominican Republic;-;-;-;-;-;-;30;31;34;-;-;-;-;-
Ecuador;-;-;-;31;-;-;-;28;32;28;-;36;34;29.4
Egypt;-;-;-;-;-;-;-;19;-;53;-;34;-;-
El Salvador;-;-;-;-;-;-;-;-;-;-;-;35;-;32
Estonia;-;-;-;-;-;-;-;-;-;-;-;18;15;15.1
Ethiopia;-;-;-;-;-;-;-;-;-;-;-;20;-;-
Finland;5;7;9;7;12;14;13;13;19;18;18;17;18;15.6
France;17;3;22;23;39;39;24;10;14;25;15;18;16;16.1
Georgia;-;-;-;-;-;-;-;-;-;-;-;-;-;48.6
Germany;17;22;23;28;31;36;-;26;31;26;19;22;19;23.2
Ghana;-;-;-;-;-;-;-;-;-;37;-;28;33;-
Greece;-;-;38;29;14;21;10;31;26;28;25;30;23;34.8
Guatemala;-;-;-;-;-;-;-;-;25;15;33;-;31;40.6
Hong Kong;-;35;33;32;-;-;26;-;19;-;-;-;-;-
Hungary;26;30;-;29;39;22;23;28;24;20;31;31;28;33.2
Iceland;-;8;7;5;5;9;6;5;10;7;-;-;-;-
India;68;29;-;-;-;28;20;22;-;-;-;-;39;31.7
Indonesia;-;-;-;-;-;14;-;-;-;-;-;-;25;20.5
Iran;-;-;-;-;-;-;-;31;35;38;53;42;38;38.7
Ireland;14;15;16;13;19;10;5;18;-;31;29;28;18;29.7
Israel;-;20;-;23;-;-;23;20;25;24;-;19;17;-
Italy;20;9;7;8;16;22;15;14;14;13;-;16;19;13.6
Jamaica;-;-;-;-;33;32;-;47;33;42;33;-;41;32.1
Japan;26;30;19;12;19;15;33;23;30;36;25;21;25;18.8
Jordan;-;-;-;14;-;-;-;-;28;-;-;-;-;-
Kazakhstan;-;-;-;-;-;-;28;-;-;-;-;-;-;26.4
Korea (South);37;28;-;-;-;-;-;40;45;39;41;35;36;-
Latvia;-;-;-;-;16;16;15;21;32;27;26;25;21;-
Lebanon;-;-;-;-;-;-;-;-;18;-;-;-;-;-
Libya;-;-;-;-;-;-;-;-;-;-;-;-;8;-
Lithuania;-;-;-;-;-;-;-;-;-;-;28;25;23;19.6
Luxembourg;-;-;-;-;-;-;-;-;-;-;-;-;6;11.8
Macedonia;-;-;-;-;-;-;-;47;-;59;-;52;61;-
Malawi;-;-;-;-;-;-;-;-;-;-;-;42;44;-
Malaysia;-;-;-;-;-;5;-;-;25;12;10;13;18;17.5
Mexico;28;22;-;-;16;22;-;13;-;19;19;13;7;22.5
Montenegro;-;-;-;-;-;-;-;-;-;37;-;-;-;-
Morocco;-;-;-;-;-;-;-;-;25;-;-;-;-;-
Namibia;-;-;-;-;-;-;-;-;-;-;-;37;34;-
Netherlands;-;11;10;14;8;6;11;9;10;8;9;8;8;15.7
New Zealand;16;16;12;14;7;-;-;-;-;-;-;-;-;-
Nigeria;-;-;-;-;-;-;-;-;-;-;-;35;25;-
Norway;2;3;9;12;9;4;5;-;9;15;4;7;4;3.5
Pakistan;-;-;-;-;-;-;-;-;-;41;47;53;-;-
Palestine;-;-;-;-;-;-;-;-;37;32;-;42;-;-
Panama;-;-;-;-;-;-;-;-;24;-;27;19;19;26.3
Peru;-;-;-;33;-;26;32;31;28;21;22;23;22;16.4
Philippines;-;-;-;-;-;46;-;-;-;-;-;-;44;29.4
Poland;47;32;-;35;-;-;-;-;-;-;48;41;47;36.8
Portugal;19;-;-;26;-;-;10;-;-;22;18;18;21;27.4
Puerto Rico;-;-;-;-;-;-;15;-;-;-;-;-;22;20.5
Qatar;-;-;-;-;-;-;-;-;-;-;-;-;-;21.5
Romania;-;-;-;-;-;-;14;34;34;31;41;24;32;28.9
Russia;-;21;-;-;-;30;19;21;29;32;27;36;35;39
Saudi Arabia;-;-;-;-;-;-;-;-;12;10;-;-;-;-
Serbia;-;-;-;-;-;-;46;33;41;-;-;-;-;-
Singapore;13;15;19;11;16;13;-;-;-;-;16;15;8;11.4
Slovak Republic;-;-;-;-;-;-;-;-;-;-;28;36;40;32.6
Slovenia;-;30;20;17;11;10;10;12;10;16;12;7;24;25.5
South Africa;18;36;32;46;39;29;-;21;33;36;35;32;30;28.2
Spain;22;22;5;12;14;15;15;15;16;25;26;26;29;29.8
Suriname;-;-;-;-;-;-;-;-;-;-;-;-;18;5.4
Sweden;11;17;9;9;14;7;10;-;-;13;6;7;10;7.9
Switzerland;-;11;12;-;14;-;14;-;7;14;11;18;7;14.4
Syria;-;-;-;-;-;-;-;-;37;-;-;-;-;-
Taiwan;-;17;-;-;-;-;-;-;-;30;17;18;29;13.3
Thailand;-;17;-;-;24;31;29;-;-;-;19;17;19;17.8
Tonga Islands;-;-;-;-;-;-;-;-;33;-;-;-;-;-
Trinidad & Tobago;-;-;-;-;-;-;-;-;-;14;15;15;11;12
Tunisia;-;-;-;-;-;-;-;-;20;24;-;35;-;-
Turkey;-;-;-;-;-;29;36;39;-;-;-;-;-;-
Uganda;-;-;-;-;-;-;-;-;-;-;-;-;-;-
United Arab Emirates;-;-;-;-;-;-;-;-;-;-;-;-;-;-
United Kingdom;-;-;-;-;-;-;-;-;-;-;-;-;-;-
United States of America;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Uruguay;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vanuatu;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Venezuela;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vietnam;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Yemen;-;-;-;-;-;-;-;-;-;-;-;-;-;-
