Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Algeria;-;-;-;-;-;-;-;-;48;-;54;46;62;-
Angola;-;-;-;-;-;-;-;74;-;67;-;66;57;69.8
Argentina;20;21;65;57;58;57;61;47;44;50;56;50;41;31.9
Australia;31;34;52;51;50;55;-;-;-;46;48;-;-;45.7
Austria;-;-;-;-;29;-;51;-;-;-;-;49;-;44.4
Bangladesh;-;-;-;-;-;-;-;-;-;-;64;-;-;-
Barbados;-;-;-;-;-;-;-;-;-;-;44;47;46;38.2
Belgium;20;16;18;38;43;15;16;14;15;40;43;33;31;35.9
Belize;-;-;-;-;-;-;-;-;-;-;-;-;-;49.6
Bolivia;-;-;-;-;-;-;-;54;-;53;-;-;-;57.7
Bosnia & Herzegovina;-;-;-;-;-;-;-;46;35;38;21;20;23;19.6
Botswana;-;-;-;-;-;-;-;-;-;-;-;67;66;57.2
Brazil;41;41;41;44;43;37;39;41;47;48;43;52;51;55.5
Burkina Faso;-;-;-;-;-;-;-;-;-;-;-;-;-;63.6
Cameroon;-;-;-;-;-;-;-;-;-;-;-;-;-;69.3
Canada;35;35;36;45;48;45;-;-;-;-;-;-;57;55.5
Chile;-;31;34;-;49;42;49;27;52;65;57;65;68;67
China;-;27;32;-;21;31;39;-;25;36;49;32;33;31.9
Colombia;-;-;-;-;-;65;58;61;50;68;73;72;68;65.7
Costa Rica;-;-;-;-;-;-;-;-;-;46;-;47;-;39
Croatia;-;17;26;19;37;43;44;44;37;23;18;17;18;18.4
Czech Republic;-;-;-;-;-;27;-;-;-;-;24;-;23;-
Denmark;46;51;42;49;66;65;71;62;34;46;47;44;-;59.7
Dominican Republic;-;-;-;-;-;-;52;54;50;-;-;-;-;-
Ecuador;-;-;-;46;-;-;-;41;44;50;-;59;57;62
Egypt;-;-;-;-;-;-;-;35;-;39;-;54;-;-
El Salvador;-;-;-;-;-;-;-;-;-;-;-;43;-;44.7
Estonia;-;-;-;-;-;-;-;-;-;-;-;45;46;49.4
Ethiopia;-;-;-;-;-;-;-;-;-;-;-;65;-;-
Finland;55;51;49;38;47;50;53;50;40;51;61;55;44;42.4
France;7;10;9;21;22;21;23;22;24;34;35;38;23;28.3
Georgia;-;-;-;-;-;-;-;-;-;-;-;-;-;36.6
Germany;24;20;14;13;18;20;-;24;22;28;35;36;31;37.6
Ghana;-;-;-;-;-;-;-;-;-;76;-;79;69;-
Greece;-;-;24;29;16;22;29;28;26;16;11;13;14;19.9
Guatemala;-;-;-;-;-;-;-;-;55;63;55;-;59;45.4
Hong Kong;-;20;18;26;-;-;81;-;14;-;-;-;-;-
Hungary;9;10;-;17;10;16;28;19;3;33;14;11;19;23.4
Iceland;-;42;50;55;62;60;69;37;44;49;-;-;-;-
India;31;42;-;-;-;52;71;58;-;-;-;-;41;38.9
Indonesia;-;-;-;-;-;42;-;-;-;-;-;-;47;45.5
Iran;-;-;-;-;-;-;-;34;31;42;32;39;37;27.7
Ireland;34;39;33;45;52;44;46;27;-;23;26;26;28;33.4
Israel;18;26;-;32;-;-;24;25;29;34;-;31;47;-
Italy;48;40;34;25;15;23;39;30;25;25;-;20;17;26.6
Jamaica;-;-;-;-;45;53;-;51;42;56;49;-;51;57.1
Japan;7;5;7;14;17;9;9;8;8;6;6;6;8;7.3
Jordan;-;-;-;34;-;-;-;-;44;-;-;-;-;-
Kazakhstan;-;-;-;-;-;-;54;-;-;-;-;-;-;26.5
Korea (South);12;15;-;-;-;-;-;15;13;13;11;13;13;-
Latvia;-;-;-;-;36;41;34;22;18;29;24;33;35;-
Lebanon;-;-;-;-;-;-;-;-;54;-;-;-;-;-
Libya;-;-;-;-;-;-;-;-;-;-;-;-;52;-
Lithuania;-;-;-;-;-;-;-;-;-;-;23;30;29;31.7
Luxembourg;-;-;-;-;-;-;-;-;-;-;-;-;46;42.5
Macedonia;-;-;-;-;-;-;-;47;-;34;-;31;37;-
Malawi;-;-;-;-;-;-;-;-;-;-;-;74;79;-
Malaysia;-;-;-;-;-;47;-;-;45;40;37;36;41;43.4
Mexico;40;51;-;-;33;27;-;47;-;56;43;45;54;48.9
Montenegro;-;-;-;-;-;-;-;-;-;36;-;-;-;-
Morocco;-;-;-;-;-;-;-;-;49;-;-;-;-;-
Namibia;-;-;-;-;-;-;-;-;-;-;-;75;68;-
Netherlands;42;49;29;38;39;46;42;39;36;45;48;34;33;45.6
New Zealand;49;51;47;55;57;-;-;-;-;-;-;-;-;-
Nigeria;-;-;-;-;-;-;-;-;-;-;-;82;85;-
Norway;59;44;37;41;46;51;46;39;49;50;67;64;64;63.5
Pakistan;-;-;-;-;-;-;-;-;-;52;40;46;-;-
Palestine;-;-;-;-;-;-;-;-;50;44;-;46;-;-
Panama;-;-;-;-;-;-;-;-;45;-;46;38;59;43.3
Peru;-;-;-;56;-;68;63;57;61;71;70;57;61;62.3
Philippines;-;-;-;-;-;58;-;-;-;-;-;-;48;45.9
Poland;14;8;-;36;-;-;-;-;-;-;33;20;26;31.4
Portugal;22;-;-;23;-;-;33;-;-;20;17;16;20;22.9
Puerto Rico;-;-;-;-;-;-;35;-;-;-;-;-;28;25.1
Qatar;-;-;-;-;-;-;-;-;-;-;-;-;-;63.4
Romania;-;-;-;-;-;-;26;26;14;18;36;37;29;32.4
Russia;-;14;-;-;-;24;11;30;17;22;27;20;18;26.5
Saudi Arabia;-;-;-;-;-;-;-;-;69;76;-;-;-;-
Serbia;-;-;-;-;-;-;48;51;29;-;-;-;-;-
Singapore;17;17;17;16;17;16;-;-;-;-;21;23;22;16.7
Slovak Republic;-;-;-;-;-;-;-;-;-;-;23;18;16;23.5
Slovenia;-;30;32;37;21;39;48;45;29;27;18;20;16;17.3
South Africa;20;14;28;32;27;28;-;37;35;41;41;35;38;37
Spain;48;42;31;39;38;33;34;25;16;19;14;14;16;22.6
Suriname;-;-;-;-;-;-;-;-;-;-;-;-;53;41
Sweden;42;45;39;41;45;46;50;-;-;66;71;66;64;70.1
Switzerland;-;34;25;-;39;-;35;-;35;33;47;36;42;43.7
Syria;-;-;-;-;-;-;-;-;54;-;-;-;-;-
Taiwan;-;15;-;-;-;-;-;-;-;30;39;39;42;33.5
Thailand;-;22;-;-;34;21;19;-;-;-;40;45;45;47.4
Tonga Islands;-;-;-;-;-;-;-;-;56;-;-;-;-;-
Trinidad & Tobago;-;-;-;-;-;-;-;-;-;69;62;59;58;58.6
Tunisia;-;-;-;-;-;-;-;-;15;38;-;33;-;-
Turkey;-;-;-;-;-;34;39;36;;;;;;
Uganda;-;-;62;72;-;-;-;-;74;81;-;81;81;76.9
United Arab Emirates;-;-;-;-;-;41;50;-;45;-;44;-;-;-
United Kingdom;23;27;35;36;39;37;39;30;24;29;33;33;36;41
United States of America;35;37;31;34;32;24;25;37;28;35;36;43;47;50.9
Uruguay;-;-;-;-;-;52;41;51;46;52;54;51;48;45.6
Vanuatu;-;-;-;-;-;-;-;-;-;74;-;-;-;-
Venezuela;-;-;43;-;65;-;56;-;48;-;48;-;-;-
Vietnam;-;-;-;-;-;-;-;-;-;-;-;-;37;39.4
Yemen;-;-;-;-;-;-;-;-;-;-;-;-;-;-
