Country;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Algeria;-;-;-;-;-;-;58;-;82;81;84;-
Angola;-;-;-;-;-;66;-;83;-;-;73;81.7
Argentina;71;72;73;68;74;70;76;67;69;67;-;52.2
Australia;65;70;72;72;-;-;-;68;68;-;-;67.1
Austria;-;-;70;-;71;-;-;-;-;76;-;-
Bangladesh;-;-;-;-;-;-;-;-;100;-;-;-
Barbados;-;-;-;-;-;-;-;-;64;-;72;58.5
Belgium;54;69;72;53;51;46;49;51;55;57;52;51.7
Belize;-;-;-;-;-;-;-;-;-;-;-;55.5
Bolivia;-;-;-;-;-;55;-;67;-;-;-;77
Bosnia & Herzegovina;-;-;-;-;-;67;57;63;71;72;72;69.9
Botswana;-;-;-;-;-;-;-;-;-;73;84;78.1
Brazil;78;75;76;68;79;75;80;79;86;86;82;-
Burkina Faso;-;-;-;-;-;-;-;-;-;-;-;-
Cameroon;-;-;-;-;-;-;-;-;-;-;-;-
Canada;65;77;71;70;-;-;-;-;-;-;70;69.7
Chile;62;-;68;72;69;69;70;71;69;68;67;64.4
China;71;-;67;72;71;-;77;77;73;76;74;72.9
Colombia;-;-;-;72;72;77;74;76;79;75;71;67.1
Costa Rica;-;-;-;-;-;-;-;63;-;72;-;59
Croatia;51;51;52;53;51;54;49;50;47;42;43;46.6
Czech Republic;-;-;-;47;-;-;-;-;49;-;48;-
Denmark;75;73;73;74;79;-;75;-;-;-;-;-
Dominican Republic;-;-;-;-;87;91;88;-;-;-;-;-
Ecuador;-;76;-;-;-;71;73;74;-;84;68;67.1
Egypt;-;-;-;-;-;84;-;89;-;87;-;-
El Salvador;-;-;-;-;-;-;-;-;-;72;-;59.5
Estonia;-;-;-;-;-;-;-;-;-;63;59;64.9
Ethiopia;-;-;-;-;-;-;-;-;-;92;-;-
Finland;85;87;86;88;85;90;88;87;83;83;85;84.4
France;47;70;64;68;70;70;70;68;68;77;70;70.4
Georgia;-;-;-;-;-;-;-;-;-;-;-;75.9
Germany;72;71;76;75;-;80;75;77;78;76;75;79.1
Ghana;-;-;-;-;-;-;-;91;-;91;94;-
Greece;75;73;66;66;66;77;68;70;69;68;65;66.4
Guatemala;-;-;-;-;-;-;67;60;68;-;71;76.9
Hong Kong;67;68;-;-;68;-;55;-;-;-;-;-
Hungary;-;57;34;68;67;61;72;74;78;74;74;72.4
Iceland;69;67;72;73;74;71;62;61;-;-;-;-
India;-;-;-;84;75;82;-;-;-;-;70;66.2
Indonesia;-;-;-;54;-;-;-;-;-;-;80;78
Iran;-;-;-;-;-;82;78;85;73;73;82;75.6
Ireland;76;85;79;82;83;81;-;81;83;81;81;76.9
Israel;-;64;-;-;66;74;73;73;-;72;80;-
Italy;68;66;50;69;69;64;69;69;-;70;72;72.1
Jamaica;-;-;79;79;-;84;77;85;82;-;81;84.1
Japan;47;56;52;45;48;56;50;52;55;55;53;55.8
Jordan;-;86;-;-;-;-;84;-;-;-;-;-
Kazakhstan;-;-;-;-;85;-;-;-;-;-;-;74.4
Korea (South);-;-;-;-;-;69;65;71;67;70;68;-
Latvia;-;-;75;76;71;77;66;65;-;53;59;-
Lebanon;-;-;-;-;-;-;79;-;-;-;-;-
Libya;-;-;-;-;-;-;-;-;-;-;84;-
Lithuania;-;-;-;-;-;-;-;-;-;53;57;58.3
Luxembourg;-;-;-;-;-;-;-;-;-;-;71;68.2
Macedonia;-;-;-;-;-;72;-;66;-;67;68;-
Malawi;-;-;-;-;-;-;-;-;-;-;-;-
Malaysia;-;-;-;77;-;-;71;69;51;51;45;50
Mexico;-;-;61;53;-;57;-;63;58;54;62;50.8
Montenegro;-;-;-;-;-;-;-;68;-;-;-;-
Morocco;-;-;-;-;-;-;84;-;-;-;-;-
Namibia;-;-;-;-;-;-;-;-;-;76;66;-
Netherlands;66;67;66;65;69;69;67;69;67;65;66;67.8
New Zealand;68;69;73;-;-;-;-;-;-;-;-;-
Nigeria;-;-;-;-;-;-;-;-;-;76;62;-
Norway;59;66;66;69;57;-;69;71;80;80;75;83.5
Pakistan;-;-;-;-;-;-;-;81;73;68;-;-
Palestine;-;-;-;-;-;-;78;83;-;80;-;-
Panama;-;-;-;-;-;-;67;-;-;-;59;-
Peru;-;72;-;76;75;73;75;77;82;73;71;81.4
Philippines;-;-;-;84;-;-;-;-;-;-;79;78.1
Poland;-;58;-;-;-;-;-;-;64;57;60;56.5
Portugal;-;61;-;-;67;-;-;71;-;-;-;62.9
Puerto Rico;-;-;-;-;67;-;-;-;-;-;50;51.1
Qatar;-;-;-;-;-;-;-;-;-;-;-;87.1
Romania;-;-;-;-;62;69;67;66;69;74;73;75.2
Russia;-;-;-;68;31;64;63;64;65;63;68;65.9
Saudi Arabia;-;-;-;-;-;-;89;92;-;-;-;-
Serbia;-;-;-;-;61;64;56;-;-;-;-;-
Singapore;57;53;58;54;-;-;-;-;63;63;59;62.9
Slovak Republic;-;-;-;-;-;-;-;-;64;74;59;58.1
Slovenia;77;76;46;76;76;78;78;74;70;71;68;72.3
South Africa;48;59;56;59;-;62;64;78;72;74;75;72.9
Spain;44;59;60;60;61;58;55;63;66;64;52;49
Suriname;-;-;-;-;-;-;-;-;-;-;79;67.2
Sweden;57;62;62;61;67;-;-;72;71;-;72;70.9
Switzerland;67;-;74;-;73;-;84;76;-;63;65;65.8
Syria;-;-;-;-;-;-;89;-;-;-;-;-
Taiwan;-;-;-;-;-;-;-;58;63;63;64;62.6
Thailand;-;-;78;76;82;-;-;-;79;79;75;71.1
Tonga Islands;-;-;-;-;-;-;52;-;-;-;-;-
Trinidad & Tobago;-;-;-;-;-;-;-;78;82;76;72;69.5
Tunisia;-;-;-;-;-;-;94;93;-;94;-;-
Turkey;-;-;-;86;82;80;-;76;-;76;74;-
Uganda;86;87;-;-;-;-;85;87;-;-;95;-
United Arab Emirates;-;-;-;88;80;-;75;-;73;-;-;-
United Kingdom;71;71;73;73;74;74;73;77;81;77;79;75
United States of America;64;63;61;49;50;74;75;76;-;-;-;76.9
Uruguay;-;-;-;76;75;-;72;62;59;59;56;56.7
Vanuatu;-;-;-;-;-;-;-;78;-;-;-;-
Venezuela;73;-;77;-;72;-;69;-;77;-;-;-
Vietnam;-;-;-;-;-;-;-;-;-;-;82;75.9
Yemen;-;-;-;-;-;-;97;-;;;;
